AVG R2 SCORE: 0.9868572093316912, SYMBOLIC: 0.9552468668685015
AVG R2 SCORE: 0.985686556551307, SYMBOLIC: 0.9237926871984024
AVG R2 SCORE: 0.9814279413578231, SYMBOLIC: 0.7768723691826335
AVG R2 SCORE: 0.0015263057649417267, SYMBOLIC: -0.01292774253378437
AVG R2 SCORE: 0.9566367982784295, SYMBOLIC: 0.9550909113324157
AVG R2 SCORE: 0.9828263662566268, SYMBOLIC: NaN
AVG R2 SCORE: 0.9798651258992456, SYMBOLIC: 0.9423397552884425
AVG R2 SCORE: 0.4006830840554745, SYMBOLIC: 0.409177913718333
AVG R2 SCORE: 0.058768824393441, SYMBOLIC: 0.06774264435724164
AVG R2 SCORE: -1.746334305662328, SYMBOLIC: -1.7441539927075742
AVG R2 SCORE: 0.9901819013529868, SYMBOLIC: 0.9817834002070318
AVG R2 SCORE: -0.9371975809076742, SYMBOLIC: -0.9392815891488719
AVG R2 SCORE: -0.07418881712139513, SYMBOLIC: -0.07754779278797863
AVG R2 SCORE: 0.9621021532633787, SYMBOLIC: 0.9613704946559751
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: 0.9715768631510484, SYMBOLIC: 0.9724122937454395
AVG R2 SCORE: 0.9938308843593302, SYMBOLIC: 0.9658454393552148
AVG R2 SCORE: 0.9771176237690661, SYMBOLIC: 0.9417159583577935
AVG R2 SCORE: 0.9770090692494948, SYMBOLIC: 0.9669725718061666
AVG R2 SCORE: 0.9840862804714888, SYMBOLIC: NaN
AVG R2 SCORE: -0.0006827183185746932, SYMBOLIC: NaN
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: 0.9568597471348095, SYMBOLIC: 0.9045823345746034
AVG R2 SCORE: 0.9784268165030177, SYMBOLIC: 0.9651848819478465
AVG R2 SCORE: 0.06428047716462804, SYMBOLIC: 0.08104915053430739
AVG R2 SCORE: 0.27282901718217545, SYMBOLIC: 0.2822767761297461
AVG R2 SCORE: 0.9390889876287385, SYMBOLIC: 0.9276152449826526
AVG R2 SCORE: 0.977405300383843, SYMBOLIC: 0.9651478734571003
AVG R2 SCORE: 0.9929931001470254, SYMBOLIC: NaN
AVG R2 SCORE: 0.05314595879418016, SYMBOLIC: 0.0580346006910496
AVG R2 SCORE: 0.6670071633524268, SYMBOLIC: NaN
AVG R2 SCORE: 0.9585122077372066, SYMBOLIC: 0.9065421153541738
AVG R2 SCORE: 0.8644885555951347, SYMBOLIC: 0.8443183450481128
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: 0.9733180416259956, SYMBOLIC: 0.9504030958364174
AVG R2 SCORE: -1.3901717378357392, SYMBOLIC: -1.3955006072868716
AVG R2 SCORE: 0.9040917924835018, SYMBOLIC: -2.4043943262286698
AVG R2 SCORE: -1.2952730298425208, SYMBOLIC: -1.283871832549405
AVG R2 SCORE: 0.9684186683479745, SYMBOLIC: 0.9700675047886094
AVG R2 SCORE: 0.979000277962122, SYMBOLIC: 0.9649989266223408
AVG R2 SCORE: 0.10929060712511363, SYMBOLIC: 0.11926048717611726
AVG R2 SCORE: 0.03503450486575599, SYMBOLIC: 0.03608401462037836
AVG R2 SCORE: 0.9196692099735755, SYMBOLIC: 0.9027810470293982
AVG R2 SCORE: 0.9528072978347341, SYMBOLIC: 0.9504133860124353
AVG R2 SCORE: -0.07480396046460491, SYMBOLIC: -0.06773334984074886
AVG R2 SCORE: 0.974894313620534, SYMBOLIC: 0.9719516174620514
AVG R2 SCORE: 0.9913504701971823, SYMBOLIC: 0.8983859576539445
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: -0.8139666900258451, SYMBOLIC: -0.8090289203005037
AVG R2 SCORE: 0.9205237297889063, SYMBOLIC: 0.9175768789865789
AVG R2 SCORE: -0.00027937080966267125, SYMBOLIC: NaN
AVG R2 SCORE: -0.23843154630356622, SYMBOLIC: -0.23814019783297935
AVG R2 SCORE: 0.9809551259716848, SYMBOLIC: 0.9719197767577679
AVG R2 SCORE: 0.9990374401121482, SYMBOLIC: 0.9235204687860482
AVG R2 SCORE: 0.9436761218225195, SYMBOLIC: 0.9151836503826463
AVG R2 SCORE: 0.23680157974197946, SYMBOLIC: 0.24714073128724323
