AVG R2 SCORE: 0.7601420321223185, SYMBOLIC: 0.7682551586182121
AVG R2 SCORE: -0.013953492096014042, SYMBOLIC: -0.013365798297508835
AVG R2 SCORE: -2.585687418558953, SYMBOLIC: -2.5895050981064927
AVG R2 SCORE: 0.0014478832167527378, SYMBOLIC: NaN
AVG R2 SCORE: -5.03025404521046, SYMBOLIC: NaN
AVG R2 SCORE: -3.053424782749207, SYMBOLIC: NaN
AVG R2 SCORE: -2.2483016998663414, SYMBOLIC: -2.2396431691394048
AVG R2 SCORE: -3.157001482124879, SYMBOLIC: -3.1455792981805057
AVG R2 SCORE: 0.5745018210286797, SYMBOLIC: NaN
AVG R2 SCORE: 0.9794300030291418, SYMBOLIC: 0.9784684798121523
AVG R2 SCORE: 0.9696101765837191, SYMBOLIC: 0.9690434680272313
AVG R2 SCORE: 0.9596203994768502, SYMBOLIC: 0.9001576704991335
AVG R2 SCORE: 0.9890449121425491, SYMBOLIC: 0.8723729004931817
AVG R2 SCORE: 0.9767842210479907, SYMBOLIC: 0.9732743998588143
AVG R2 SCORE: 0.7928081490307627, SYMBOLIC: NaN
AVG R2 SCORE: -0.1368314722050175, SYMBOLIC: -0.13928857074154055
AVG R2 SCORE: -5.124866710555029, SYMBOLIC: NaN
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: 0.8621550357719884, SYMBOLIC: 0.8089329059521408
AVG R2 SCORE: 0.9886864120311541, SYMBOLIC: 0.9861574054044807
AVG R2 SCORE: -0.0014887540054697723, SYMBOLIC: NaN
AVG R2 SCORE: -0.043956356841888755, SYMBOLIC: -0.03933138662185426
AVG R2 SCORE: -0.02217829854244091, SYMBOLIC: -0.022226610478731423
AVG R2 SCORE: 0.04425741134197056, SYMBOLIC: 0.04249308612411645
AVG R2 SCORE: -0.0386147547234959, SYMBOLIC: -0.03853052549245495
AVG R2 SCORE: -0.0024419066190116134, SYMBOLIC: -0.002056130513030885
AVG R2 SCORE: -0.0001870158568255953, SYMBOLIC: -0.00046962103636249974
AVG R2 SCORE: -2.73096767421339, SYMBOLIC: -2.753290954272619
AVG R2 SCORE: -0.3905257264962652, SYMBOLIC: -0.3895739924007255
AVG R2 SCORE: -0.14684767131538495, SYMBOLIC: -0.1564276443353929
AVG R2 SCORE: 0.9361411471270341, SYMBOLIC: 0.9379778612652794
AVG R2 SCORE: -0.007717510084430224, SYMBOLIC: NaN
AVG R2 SCORE: -0.10508193307885616, SYMBOLIC: -0.07205725011662312
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: -1.4114361534583488, SYMBOLIC: NaN
AVG R2 SCORE: -0.18037594688585706, SYMBOLIC: NaN
AVG R2 SCORE: -2.5371138774718673, SYMBOLIC: -2.54279113527832
AVG R2 SCORE: 0.0985807623511819, SYMBOLIC: NaN
AVG R2 SCORE: -0.29032818906100677, SYMBOLIC: -0.2870929284836576
AVG R2 SCORE: -0.8831324726476091, SYMBOLIC: NaN
AVG R2 SCORE: -2.6472731043446416, SYMBOLIC: NaN
AVG R2 SCORE: 0.979493075301821, SYMBOLIC: 0.9578827232639977
AVG R2 SCORE: -0.2411710721205268, SYMBOLIC: -0.24111393489765065
AVG R2 SCORE: 0.011741108962080693, SYMBOLIC: 0.010910090598498318
AVG R2 SCORE: 0.956351043577117, SYMBOLIC: NaN
AVG R2 SCORE: 0.9844361818391099, SYMBOLIC: 0.9802686360567832
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: -0.7024020705084771, SYMBOLIC: NaN
AVG R2 SCORE: -0.01371890899456557, SYMBOLIC: -0.014229562962795705
AVG R2 SCORE: 0.8944794686800234, SYMBOLIC: NaN
AVG R2 SCORE: 0.9822432649959824, SYMBOLIC: 0.980898195742811
