AVG R2 SCORE: 0.9389118362221168, SYMBOLIC: 0.7992928597395533
AVG R2 SCORE: -145.11150462225902, SYMBOLIC: -15.456430503105954
AVG R2 SCORE: 0.951168398799538, SYMBOLIC: 0.8173653216154241
AVG R2 SCORE: 0.8279776905248208, SYMBOLIC: 0.7748655391755742
AVG R2 SCORE: 0.9005882354882229, SYMBOLIC: 0.6102591346994194
AVG R2 SCORE: -0.8687812150209648, SYMBOLIC: -9.198570674549474
AVG R2 SCORE: 0.8039236978436, SYMBOLIC: 0.4364044687638602
AVG R2 SCORE: 0.966595147123473, SYMBOLIC: 0.748730155276853
AVG R2 SCORE: 0.9564528986704433, SYMBOLIC: NaN
AVG R2 SCORE: 0.947590274301463, SYMBOLIC: 0.7538020144255043
AVG R2 SCORE: 0.8950977293624117, SYMBOLIC: NaN
AVG R2 SCORE: 0.9370350242402476, SYMBOLIC: 0.5683388164936736
AVG R2 SCORE: -51.01466407119814, SYMBOLIC: -8353891.338286674
AVG R2 SCORE: 0.9138613358688407, SYMBOLIC: 0.7940562960213768
AVG R2 SCORE: 0.9600885327919573, SYMBOLIC: -15820.451756261788
AVG R2 SCORE: 0.8324390809095543, SYMBOLIC: 0.7964570007464712
AVG R2 SCORE: -1.10362904344291, SYMBOLIC: -1.0440940001555548
AVG R2 SCORE: -1940.5492559607453, SYMBOLIC: NaN
AVG R2 SCORE: 0.8574597100170029, SYMBOLIC: 0.8177295380543915
AVG R2 SCORE: -5.161452840778697, SYMBOLIC: -4.765954839627341
AVG R2 SCORE: 0.9495935442240832, SYMBOLIC: 0.7938971520150341
AVG R2 SCORE: 0.8872278310928273, SYMBOLIC: 0.8170397749738652
AVG R2 SCORE: 0.9059044654213227, SYMBOLIC: 0.825389943241085
AVG R2 SCORE: -0.4504536069950097, SYMBOLIC: -0.45245283259945224
AVG R2 SCORE: 0.04954593635935693, SYMBOLIC: 0.047869168870521214
AVG R2 SCORE: 0.9618364930790463, SYMBOLIC: 0.8240262793523083
AVG R2 SCORE: 0.9254225033347137, SYMBOLIC: 0.7599997495055865
AVG R2 SCORE: 0.9720794498228603, SYMBOLIC: -0.04262913809125859
AVG R2 SCORE: 0.9623284438736727, SYMBOLIC: 0.821347893885437
AVG R2 SCORE: 0.9624603151697102, SYMBOLIC: 0.7973953812983264
AVG R2 SCORE: 0.9421815284465891, SYMBOLIC: 0.8183461712022707
AVG R2 SCORE: 0.9742563931021021, SYMBOLIC: -1.2590764564770152
AVG R2 SCORE: 0.9592337213887696, SYMBOLIC: 0.8236123514816157
AVG R2 SCORE: 0.9485587853805635, SYMBOLIC: 0.8119071888286327
AVG R2 SCORE: 0.966793011367767, SYMBOLIC: 0.5539172508974446
AVG R2 SCORE: 0.9202015110342101, SYMBOLIC: 0.7873128615119909
AVG R2 SCORE: 0.9562528329701424, SYMBOLIC: 0.7958102666028841
AVG R2 SCORE: 0.9498373368709012, SYMBOLIC: 0.8496528684196845
AVG R2 SCORE: 0.9516106244052661, SYMBOLIC: 0.8119853425918141
AVG R2 SCORE: 0.9586301907698521, SYMBOLIC: 0.8422269223798093
AVG R2 SCORE: 0.9606773770286552, SYMBOLIC: 0.7430114758336577
AVG R2 SCORE: 0.948656797127418, SYMBOLIC: 0.7992629385459895
AVG R2 SCORE: 0.9663979061140537, SYMBOLIC: 0.7934138435147341
AVG R2 SCORE: 0.9556169679904645, SYMBOLIC: 0.8180460014472548
AVG R2 SCORE: 0.9467446954292644, SYMBOLIC: 0.8036373444881884
AVG R2 SCORE: 0.9528241266108566, SYMBOLIC: NaN
AVG R2 SCORE: 0.9323784705544993, SYMBOLIC: 0.8104481319865939
AVG R2 SCORE: 0.964743805380283, SYMBOLIC: 0.6115820068512052
AVG R2 SCORE: 0.33792866771059515, SYMBOLIC: 0.2192275440656999
AVG R2 SCORE: 0.9420219081528728, SYMBOLIC: 0.7965366088413581
AVG R2 SCORE: -2329.052005529274, SYMBOLIC: -1459440.555665203
AVG R2 SCORE: 0.9057279053755952, SYMBOLIC: 0.7978058723807407
AVG R2 SCORE: 0.8621294389062728, SYMBOLIC: 0.8372540533238535
AVG R2 SCORE: 0.963720455300128, SYMBOLIC: 0.7277205674515997
AVG R2 SCORE: 0.9314079298039871, SYMBOLIC: 0.8071788503661731
AVG R2 SCORE: -7.4571152385803625, SYMBOLIC: -7.52021247961035
AVG R2 SCORE: 0.9456944494444167, SYMBOLIC: 0.8156943556163034
AVG R2 SCORE: 0.9262595483267901, SYMBOLIC: 0.6878914817688786
AVG R2 SCORE: 0.19167317503633904, SYMBOLIC: -0.17829649055011315
AVG R2 SCORE: -0.17553651135355902, SYMBOLIC: -0.1760084703634004
AVG R2 SCORE: 0.8712823502675437, SYMBOLIC: 0.8574607277052454
AVG R2 SCORE: 0.8793232677893481, SYMBOLIC: 0.8332877050377256
AVG R2 SCORE: -762.2742961325652, SYMBOLIC: NaN
AVG R2 SCORE: 0.958732559156964, SYMBOLIC: 0.8045453449654829
AVG R2 SCORE: 0.9317820894166211, SYMBOLIC: 0.794794341889746
AVG R2 SCORE: 0.8804900710120203, SYMBOLIC: 0.8452367783866604
AVG R2 SCORE: 0.8479195159566266, SYMBOLIC: 0.837111200239462
AVG R2 SCORE: 0.8504252921932405, SYMBOLIC: 0.8389429345684345
AVG R2 SCORE: 0.8667380060445996, SYMBOLIC: 0.8580002663242745
AVG R2 SCORE: 0.8720131954598381, SYMBOLIC: 0.8550639490101795
AVG R2 SCORE: 0.8555541722083231, SYMBOLIC: 0.8474937546193054
AVG R2 SCORE: 0.9120811927136906, SYMBOLIC: 0.8413120980439815
AVG R2 SCORE: 0.9662916801585908, SYMBOLIC: 0.6305848845349129
AVG R2 SCORE: 0.9312632711039246, SYMBOLIC: 0.8080358912709654
AVG R2 SCORE: 0.9192481597073121, SYMBOLIC: 0.8560147420450228
AVG R2 SCORE: 0.944768421461416, SYMBOLIC: 0.7849626535065057
AVG R2 SCORE: 0.9374487019214633, SYMBOLIC: 0.7983713849762929
AVG R2 SCORE: 0.957874295556276, SYMBOLIC: 0.8482999987827572
AVG R2 SCORE: 0.9425314337499999, SYMBOLIC: 0.8375002718199477
AVG R2 SCORE: 0.940444404611337, SYMBOLIC: 0.7974331501430607
AVG R2 SCORE: 0.8788704974014493, SYMBOLIC: 0.8225123799894563
AVG R2 SCORE: 0.9340313308372785, SYMBOLIC: 0.8572795952480003
AVG R2 SCORE: 0.9315353924200789, SYMBOLIC: 0.8491560519519599
AVG R2 SCORE: 0.9309151898294203, SYMBOLIC: 0.8283231054227777
AVG R2 SCORE: 0.954387725363388, SYMBOLIC: 0.7648039622712159
AVG R2 SCORE: 0.8867029680457612, SYMBOLIC: 0.8219771192187659
AVG R2 SCORE: 0.9692041911708099, SYMBOLIC: 0.8056371916204398
AVG R2 SCORE: 0.8468636070803395, SYMBOLIC: 0.7738905903462527
AVG R2 SCORE: 0.9187527667155854, SYMBOLIC: NaN
AVG R2 SCORE: -3290.7379290773874, SYMBOLIC: NaN
AVG R2 SCORE: 0.941319527226103, SYMBOLIC: 0.8279750948039348
AVG R2 SCORE: 0.9468548573652928, SYMBOLIC: 0.8430276013498903
AVG R2 SCORE: 0.8707171767146736, SYMBOLIC: 0.7377100165040495
AVG R2 SCORE: -0.9016249001888891, SYMBOLIC: -0.8128510423467574
AVG R2 SCORE: 0.9469852158988861, SYMBOLIC: 0.8212320221082894
AVG R2 SCORE: 0.9089217868783959, SYMBOLIC: 0.7782184543899135
AVG R2 SCORE: 0.9244069304322439, SYMBOLIC: 0.8360052330924429
AVG R2 SCORE: 0.9575446284229263, SYMBOLIC: 0.8343006142941988
AVG R2 SCORE: -4.372042826176607, SYMBOLIC: -4.0307506486851725
AVG R2 SCORE: 0.9577166967190636, SYMBOLIC: 0.7981849970721657
AVG R2 SCORE: 0.9279154241235202, SYMBOLIC: 0.8540492070520411
AVG R2 SCORE: 0.9047288080272355, SYMBOLIC: 0.865243373605202
AVG R2 SCORE: 0.9230581172466528, SYMBOLIC: 0.7851643485409427
AVG R2 SCORE: 0.8558882225145406, SYMBOLIC: -2.869959390745326
AVG R2 SCORE: 0.9151442102881454, SYMBOLIC: 0.8410895979580811
AVG R2 SCORE: 0.0885144097048843, SYMBOLIC: 0.0873912646652053
AVG R2 SCORE: 0.905062533742894, SYMBOLIC: -0.4426397215452743
AVG R2 SCORE: 0.7389098827625611, SYMBOLIC: 0.7061316701375012
AVG R2 SCORE: 0.9612946254629586, SYMBOLIC: 0.8507957080255302
AVG R2 SCORE: 0.9441171363228336, SYMBOLIC: NaN
AVG R2 SCORE: 0.9561447386559989, SYMBOLIC: NaN
AVG R2 SCORE: 0.9488322803017846, SYMBOLIC: 0.8718993291816133
AVG R2 SCORE: -0.06834413197546434, SYMBOLIC: -0.06631664497160447
AVG R2 SCORE: 0.9572981413955078, SYMBOLIC: 0.826769471285148
AVG R2 SCORE: -4.4991225965666, SYMBOLIC: -3.707672020717156
AVG R2 SCORE: 0.9550256371371774, SYMBOLIC: 0.8857245423438203
AVG R2 SCORE: 0.9450405639552951, SYMBOLIC: 0.832032027540609
AVG R2 SCORE: 0.8670042767805686, SYMBOLIC: 0.7668376812087103
AVG R2 SCORE: 0.9584811906551799, SYMBOLIC: NaN
AVG R2 SCORE: 0.9226306633502903, SYMBOLIC: NaN
AVG R2 SCORE: 0.9534010804877866, SYMBOLIC: 0.8790419200450434
AVG R2 SCORE: -0.0578446986722446, SYMBOLIC: -0.060041720408582244
AVG R2 SCORE: 0.9194791719932989, SYMBOLIC: NaN
AVG R2 SCORE: 0.9396267033389364, SYMBOLIC: 0.813390420875358
AVG R2 SCORE: -3.392079081103752, SYMBOLIC: NaN
AVG R2 SCORE: 0.7242090992888258, SYMBOLIC: NaN
AVG R2 SCORE: 0.9254154948985157, SYMBOLIC: 0.7393460811273741
AVG R2 SCORE: 0.9545671395236198, SYMBOLIC: 0.9011911383823197
AVG R2 SCORE: 0.9465270639604411, SYMBOLIC: 0.8533423646116205
AVG R2 SCORE: -0.1795931620608429, SYMBOLIC: -0.18012912210854728
AVG R2 SCORE: 0.8096996208617258, SYMBOLIC: 0.7897130275299605
AVG R2 SCORE: -3.5616232640038836, SYMBOLIC: -3.558643089726675
AVG R2 SCORE: 0.9283411290535369, SYMBOLIC: 0.8226567151565145
AVG R2 SCORE: 0.9224188706042161, SYMBOLIC: 0.7741693832392398
AVG R2 SCORE: 0.9262855448672063, SYMBOLIC: 0.779512442088244
