AVG R2 SCORE: -0.04515900534060435, SYMBOLIC: -0.032789067674600325
AVG R2 SCORE: -0.9574950815938892, SYMBOLIC: -0.9564051109871292
AVG R2 SCORE: 0.17450523911082905, SYMBOLIC: 0.17778712939395003
AVG R2 SCORE: 0.989417809204669, SYMBOLIC: 0.9718614261508867
AVG R2 SCORE: 0.10541958263976237, SYMBOLIC: 0.13900046837517088
AVG R2 SCORE: 0.9687217294245356, SYMBOLIC: 0.9442201892014676
AVG R2 SCORE: -1.5622220479878792, SYMBOLIC: NaN
AVG R2 SCORE: 0.9496308429484168, SYMBOLIC: 0.8632013272019641
AVG R2 SCORE: 0.06371140377282658, SYMBOLIC: 0.062264447604900464
AVG R2 SCORE: -0.004758514103320399, SYMBOLIC: -0.012565572921836576
AVG R2 SCORE: 0.03148865676253232, SYMBOLIC: 0.032660942176160335
AVG R2 SCORE: 0.9791189037836807, SYMBOLIC: 0.9464850932562218
AVG R2 SCORE: 0.8621634386065881, SYMBOLIC: 0.8349269740524284
AVG R2 SCORE: 0.15707652251873017, SYMBOLIC: 0.1548891929832582
AVG R2 SCORE: 0.9762113135229293, SYMBOLIC: NaN
AVG R2 SCORE: 0.9955316308014788, SYMBOLIC: 0.9235948771548994
AVG R2 SCORE: 0.9723829551482804, SYMBOLIC: 0.9626647708754537
AVG R2 SCORE: 0.9624127255214189, SYMBOLIC: 0.9460972672569905
AVG R2 SCORE: 0.962534480661916, SYMBOLIC: 0.9572100206694734
AVG R2 SCORE: 0.9973392793035469, SYMBOLIC: 0.9006034859067288
AVG R2 SCORE: 0.918826043755761, SYMBOLIC: 0.9413271022086608
AVG R2 SCORE: 0.9823067852557875, SYMBOLIC: 0.9716544016576548
AVG R2 SCORE: 0.972817385414638, SYMBOLIC: 0.962484002082804
AVG R2 SCORE: 0.9989833892314706, SYMBOLIC: 0.898707229695081
AVG R2 SCORE: 0.9699606371189685, SYMBOLIC: 0.962360889913127
AVG R2 SCORE: 0.9994453818424681, SYMBOLIC: 0.9909823717247892
AVG R2 SCORE: 0.9951323723261367, SYMBOLIC: 0.9807401454713923
AVG R2 SCORE: 0.9929273355314276, SYMBOLIC: 0.9860076790835751
AVG R2 SCORE: 0.9567107826268834, SYMBOLIC: 0.956857748575088
AVG R2 SCORE: 0.9174585581820833, SYMBOLIC: 0.9193750752185474
AVG R2 SCORE: 0.9707212480144262, SYMBOLIC: 0.9627475096766085
AVG R2 SCORE: 0.8652024815216968, SYMBOLIC: 0.7020481465504566
AVG R2 SCORE: 0.9908771539997767, SYMBOLIC: 0.9856730543679529
AVG R2 SCORE: 0.9397419790714631, SYMBOLIC: 0.9196474375029275
AVG R2 SCORE: 0.09698719912958809, SYMBOLIC: 0.08705784024904517
AVG R2 SCORE: 0.009001509389054863, SYMBOLIC: 0.010432281896622264
AVG R2 SCORE: 0.9367441455075554, SYMBOLIC: 0.8849830700861301
AVG R2 SCORE: -0.020232885656611632, SYMBOLIC: -0.017996622647389104
AVG R2 SCORE: 0.9848335151531497, SYMBOLIC: 0.9658398054444125
AVG R2 SCORE: 0.9827529105010808, SYMBOLIC: 0.9563394345694237
AVG R2 SCORE: 0.8557318492904378, SYMBOLIC: 0.848559165593192
AVG R2 SCORE: 0.9580386807884111, SYMBOLIC: 0.9536058916980656
AVG R2 SCORE: -0.32921989409422703, SYMBOLIC: -0.3354950939556651
AVG R2 SCORE: 0.9668051070530782, SYMBOLIC: 0.9601858592228669
AVG R2 SCORE: 0.7191054706170371, SYMBOLIC: 0.5900886504741487
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: 0.9630210510176757, SYMBOLIC: 0.9579976335142437
AVG R2 SCORE: -0.016259151686815798, SYMBOLIC: -0.007927742901596035
AVG R2 SCORE: 0.9856441575004773, SYMBOLIC: 0.9786435892651207
AVG R2 SCORE: 0.9941734754587864, SYMBOLIC: 0.9797233109726176
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: 0.030271076022735488, SYMBOLIC: 0.022149862749532345
AVG R2 SCORE: 0.9751131122684004, SYMBOLIC: 0.9482536718410444
AVG R2 SCORE: 0.9796370193316486, SYMBOLIC: 0.9672157510044709
AVG R2 SCORE: 0.9695649450778324, SYMBOLIC: 0.9566036120674708
AVG R2 SCORE: 0.1684312433707309, SYMBOLIC: 0.1708951573569344
AVG R2 SCORE: -0.0003113304304265263, SYMBOLIC: NaN
AVG R2 SCORE: 0.9775835567581266, SYMBOLIC: NaN
AVG R2 SCORE: 0.9909951989047536, SYMBOLIC: 0.9837493015900903
AVG R2 SCORE: 0.8038666535604618, SYMBOLIC: 0.7541457580591462
AVG R2 SCORE: 0.9994128900492288, SYMBOLIC: 0.9762638555657525
AVG R2 SCORE: 0.9926856765395751, SYMBOLIC: 0.9718883697638837
AVG R2 SCORE: -0.09386416867128644, SYMBOLIC: -0.09479404399586877
AVG R2 SCORE: 0.9750742655663083, SYMBOLIC: 0.9665862674363597
AVG R2 SCORE: 0.9782286955916415, SYMBOLIC: 0.8981077094655882
AVG R2 SCORE: 0.9482606929557159, SYMBOLIC: 0.9502932556483016
AVG R2 SCORE: 0.9961588158228115, SYMBOLIC: 0.9793007181529971
AVG R2 SCORE: 0.944096025551738, SYMBOLIC: 0.9307763854694877
AVG R2 SCORE: 0.9229969415022508, SYMBOLIC: 0.9342329350970977
AVG R2 SCORE: 0.9716978518423969, SYMBOLIC: 0.9634309975496863
AVG R2 SCORE: 0.8870704293939323, SYMBOLIC: 0.8703946809045153
AVG R2 SCORE: 0.8961954824339704, SYMBOLIC: 0.9182033222935984
AVG R2 SCORE: 0.7808246783448556, SYMBOLIC: 0.5382354897607208
AVG R2 SCORE: 0.9154974972674708, SYMBOLIC: 0.9243714331671257
AVG R2 SCORE: 0.9905288911407204, SYMBOLIC: 0.9679477718246471
AVG R2 SCORE: -1.5622854725524369, SYMBOLIC: NaN
AVG R2 SCORE: 0.9967521315846369, SYMBOLIC: 0.9911780256696104
AVG R2 SCORE: 0.8785254338990572, SYMBOLIC: -0.5405835752063997
AVG R2 SCORE: 0.9792983555839057, SYMBOLIC: 0.97546541696597
AVG R2 SCORE: 0.812686687727351, SYMBOLIC: 0.2812595119978546
AVG R2 SCORE: 0.8823516736666236, SYMBOLIC: 0.8142748238996916
AVG R2 SCORE: 0.9996714695171552, SYMBOLIC: 0.9805822259020134
AVG R2 SCORE: 0.9878730545060231, SYMBOLIC: 0.9763470553006602
AVG R2 SCORE: 0.7949521973299251, SYMBOLIC: -26.108238830125924
AVG R2 SCORE: 0.016982595366167197, SYMBOLIC: 0.009244980873258979
AVG R2 SCORE: 0.980328632579369, SYMBOLIC: 0.9422739768411168
AVG R2 SCORE: 0.9813772435034233, SYMBOLIC: 0.969965809388921
AVG R2 SCORE: 0.9889960550529303, SYMBOLIC: 0.9696197655758713
AVG R2 SCORE: 0.9874595326499951, SYMBOLIC: 0.96697500209535
AVG R2 SCORE: 0.9942401756519414, SYMBOLIC: 0.9855167604214241
AVG R2 SCORE: -0.6947717566781415, SYMBOLIC: -0.6947590512154023
AVG R2 SCORE: 0.9935295245491318, SYMBOLIC: 0.9769785721569378
AVG R2 SCORE: 0.9169253558671373, SYMBOLIC: 0.9072127155827459
AVG R2 SCORE: 0.9666235143842957, SYMBOLIC: 0.949856741708455
AVG R2 SCORE: 0.9881179845667283, SYMBOLIC: 0.8934977686372014
AVG R2 SCORE: 0.10681914809975857, SYMBOLIC: 0.09012189813142202
AVG R2 SCORE: 0.9863683545711993, SYMBOLIC: 0.9583564342446416
AVG R2 SCORE: 0.9080122437746334, SYMBOLIC: 0.9052542452401667
AVG R2 SCORE: 0.9661661192586366, SYMBOLIC: 0.9646786351266485
AVG R2 SCORE: 0.9724025475429521, SYMBOLIC: 0.9414039045680388
AVG R2 SCORE: 0.9223388577978479, SYMBOLIC: 0.958503979097711
AVG R2 SCORE: -0.014518116061810193, SYMBOLIC: -0.01421216715121365
AVG R2 SCORE: 0.9936101561304027, SYMBOLIC: 0.9826965557599693
AVG R2 SCORE: 0.9726233457888074, SYMBOLIC: 0.9563574281179872
AVG R2 SCORE: -1.43919867222138, SYMBOLIC: -1.4394701415429276
AVG R2 SCORE: 0.8618463453267453, SYMBOLIC: -5.911716911828819
AVG R2 SCORE: 0.9655897846182344, SYMBOLIC: 0.9309536184119079
AVG R2 SCORE: 0.1456339577973913, SYMBOLIC: 0.1315935172972703
AVG R2 SCORE: 0.9518321072494345, SYMBOLIC: 0.8679298008066395
AVG R2 SCORE: 0.477866275966495, SYMBOLIC: 0.48893791501192496
AVG R2 SCORE: 0.9681442446977395, SYMBOLIC: 0.9537630996638227
AVG R2 SCORE: 0.8593803987751427, SYMBOLIC: 0.8262645631885336
AVG R2 SCORE: -1.562285472478973, SYMBOLIC: NaN
AVG R2 SCORE: 0.9796461659303228, SYMBOLIC: 0.971748442136935
AVG R2 SCORE: 0.99681779008126, SYMBOLIC: 0.9744812374547701
AVG R2 SCORE: 0.9724794245114643, SYMBOLIC: 0.9617609225132535
AVG R2 SCORE: 0.9948602064869039, SYMBOLIC: 0.9805059296413503
AVG R2 SCORE: 0.8922531565068458, SYMBOLIC: 0.8640322146297766
AVG R2 SCORE: 0.9555590843121875, SYMBOLIC: 0.9498030945327056
AVG R2 SCORE: 0.991671440359516, SYMBOLIC: 0.9620823678594691
AVG R2 SCORE: 0.9958969792261748, SYMBOLIC: 0.5796992685535975
AVG R2 SCORE: 0.9665318366629361, SYMBOLIC: 0.9636362103545989
AVG R2 SCORE: 0.9579547514607533, SYMBOLIC: 0.9498569268544852
AVG R2 SCORE: 0.9876617201360711, SYMBOLIC: NaN
AVG R2 SCORE: 0.8149907700112158, SYMBOLIC: 0.7770217803678678
AVG R2 SCORE: 0.9776144610771367, SYMBOLIC: 0.9513024512167811
AVG R2 SCORE: 0.9425718684868398, SYMBOLIC: 0.8779966733648197
AVG R2 SCORE: 0.958014879120596, SYMBOLIC: 0.9309063109739215
AVG R2 SCORE: 0.977167234967867, SYMBOLIC: 0.9715634886261
AVG R2 SCORE: -0.00032558326469178667, SYMBOLIC: NaN
AVG R2 SCORE: 0.9572531119399672, SYMBOLIC: 0.924087770558321
AVG R2 SCORE: 0.9651179124453536, SYMBOLIC: 0.9453817647059508
AVG R2 SCORE: -0.002685264194320469, SYMBOLIC: 0.004726228475929517
AVG R2 SCORE: 0.9886725322438283, SYMBOLIC: 0.9843008905493498
AVG R2 SCORE: 0.9862355587796541, SYMBOLIC: 0.9620126048241706
AVG R2 SCORE: -0.9531277870898291, SYMBOLIC: -0.940037240587587
AVG R2 SCORE: 0.9957495991542523, SYMBOLIC: 0.9854256154452604
AVG R2 SCORE: 0.9646482312180744, SYMBOLIC: 0.9616822768681136
AVG R2 SCORE: 0.9753111348454007, SYMBOLIC: 0.9658757450013051
