AVG R2 SCORE: 0.9566643081801304, SYMBOLIC: 0.9552466551461652
AVG R2 SCORE: 0.9825606652361284, SYMBOLIC: 0.9746509566186745
AVG R2 SCORE: 0.9846354706923521, SYMBOLIC: 0.9852339087736692
AVG R2 SCORE: 0.9796124145636449, SYMBOLIC: NaN
AVG R2 SCORE: 0.9827695640726817, SYMBOLIC: 0.98126709846518
AVG R2 SCORE: -3.344729451445289, SYMBOLIC: -3.530068133434761
AVG R2 SCORE: 0.8741614507304124, SYMBOLIC: NaN
AVG R2 SCORE: 0.9783259310415755, SYMBOLIC: 0.9162001537484603
AVG R2 SCORE: 0.9865284673813017, SYMBOLIC: 0.9824534326757555
AVG R2 SCORE: 0.8733705053589517, SYMBOLIC: 0.8468536106903858
AVG R2 SCORE: 0.8122171414493368, SYMBOLIC: -1.7791114827397834
AVG R2 SCORE: -47.65572998055078, SYMBOLIC: -106632.95350104189
AVG R2 SCORE: 0.9788137952522734, SYMBOLIC: -0.3439612505751096
AVG R2 SCORE: 0.8675285371637649, SYMBOLIC: 0.842052642486985
AVG R2 SCORE: 0.979906618476942, SYMBOLIC: 0.9793590378702312
AVG R2 SCORE: 0.6707304509072927, SYMBOLIC: 0.5405103149053617
AVG R2 SCORE: 0.9863610485316942, SYMBOLIC: 0.9629397130559494
AVG R2 SCORE: 0.9579890180254974, SYMBOLIC: -2.7281440885242008
AVG R2 SCORE: -2.0481989106416925, SYMBOLIC: -2.038193937103897
AVG R2 SCORE: -0.5234065051345318, SYMBOLIC: -0.6030716881640734
AVG R2 SCORE: 0.7947007771561251, SYMBOLIC: 0.9707449052020465
AVG R2 SCORE: 0.9806864990655376, SYMBOLIC: NaN
AVG R2 SCORE: 0.9765043520582473, SYMBOLIC: 0.9769476068231436
AVG R2 SCORE: 0.11785998890206431, SYMBOLIC: NaN
AVG R2 SCORE: 0.534363838147028, SYMBOLIC: 0.5367175136341893
AVG R2 SCORE: 0.9779095013988313, SYMBOLIC: 0.9813669808759768
AVG R2 SCORE: 0.9691963960396415, SYMBOLIC: 0.9025041216253433
AVG R2 SCORE: 0.974087524567666, SYMBOLIC: 0.9714584998835745
AVG R2 SCORE: 0.9833067759263501, SYMBOLIC: 0.9828429632578604
AVG R2 SCORE: 0.9764754638059258, SYMBOLIC: 0.9769006647369614
AVG R2 SCORE: 0.9485443663506273, SYMBOLIC: 0.9599750458285099
AVG R2 SCORE: -0.1432813246586738, SYMBOLIC: -0.1517488531682409
AVG R2 SCORE: 0.9866387842800508, SYMBOLIC: 0.982809192809261
AVG R2 SCORE: 0.9914449219383397, SYMBOLIC: 0.9909762337861225
AVG R2 SCORE: 0.9868931754915469, SYMBOLIC: 0.9870490890259208
AVG R2 SCORE: 0.9825456215717998, SYMBOLIC: 0.9798024630098798
AVG R2 SCORE: 0.9810196204169714, SYMBOLIC: 0.9805136776334414
AVG R2 SCORE: 0.986500026634306, SYMBOLIC: 0.9832667766746367
AVG R2 SCORE: 0.9914697878001242, SYMBOLIC: 0.9876982439640528
AVG R2 SCORE: 0.9884493485880412, SYMBOLIC: 0.984697479877734
AVG R2 SCORE: 0.9890207215533702, SYMBOLIC: 0.98436211970323
AVG R2 SCORE: 0.9828817511394323, SYMBOLIC: 0.9812165884829303
AVG R2 SCORE: 0.968093752272409, SYMBOLIC: 0.9676423934559837
AVG R2 SCORE: 0.9825841383385914, SYMBOLIC: 0.9809367543381202
AVG R2 SCORE: 0.9705997220527152, SYMBOLIC: 0.9632339915968056
AVG R2 SCORE: 0.6880263477634021, SYMBOLIC: 0.6900064980158113
AVG R2 SCORE: 0.9873428096015132, SYMBOLIC: 0.987158168314995
AVG R2 SCORE: 0.7958697342272087, SYMBOLIC: NaN
AVG R2 SCORE: 0.9828117058861132, SYMBOLIC: 0.9811282280617738
AVG R2 SCORE: -2.5017634768789625, SYMBOLIC: -2.473957467593637
AVG R2 SCORE: 0.9851659625001965, SYMBOLIC: 0.9821707080755888
AVG R2 SCORE: 0.9829161093679655, SYMBOLIC: 0.9711720586776347
AVG R2 SCORE: 0.8556539047140677, SYMBOLIC: 0.3818993092424742
AVG R2 SCORE: 0.9889883625804261, SYMBOLIC: 0.9861437459746194
AVG R2 SCORE: 0.9909919173855923, SYMBOLIC: 0.9897708728215824
AVG R2 SCORE: 0.982002638736009, SYMBOLIC: 0.9789768389337419
AVG R2 SCORE: 0.9655181800690154, SYMBOLIC: 0.9679750721104667
AVG R2 SCORE: 0.9710226825264474, SYMBOLIC: 0.9711204587100886
AVG R2 SCORE: 0.9772796725954787, SYMBOLIC: 0.9736837878267068
AVG R2 SCORE: 0.9576004512110563, SYMBOLIC: 0.9601504904929712
AVG R2 SCORE: 0.9824950935567609, SYMBOLIC: 0.9800619427636506
AVG R2 SCORE: 0.9879805372140578, SYMBOLIC: 0.9837121461002939
AVG R2 SCORE: 0.201872411321075, SYMBOLIC: NaN
AVG R2 SCORE: 0.8684143984680115, SYMBOLIC: 0.7153025839581015
AVG R2 SCORE: 0.8960798107315666, SYMBOLIC: 0.9164781780112967
AVG R2 SCORE: 0.9910705740777597, SYMBOLIC: 0.9862667045105443
AVG R2 SCORE: 0.993638744216023, SYMBOLIC: 0.9876855447711522
AVG R2 SCORE: 0.9887552124098195, SYMBOLIC: 0.985289907540994
AVG R2 SCORE: 0.9820164548890055, SYMBOLIC: 0.9786148665568424
AVG R2 SCORE: 0.9873879263053795, SYMBOLIC: 0.9854192886371538
AVG R2 SCORE: 0.9813502166458385, SYMBOLIC: 0.9797610097772869
AVG R2 SCORE: 0.9928521479795975, SYMBOLIC: 0.9898107705792105
AVG R2 SCORE: 0.9857182036593044, SYMBOLIC: 0.9842273972879834
AVG R2 SCORE: -2.8862430768658793, SYMBOLIC: -2.9041541948104537
AVG R2 SCORE: 0.9699129790951756, SYMBOLIC: 0.9692543950212035
AVG R2 SCORE: 0.9662511079565058, SYMBOLIC: 0.9671980776637037
AVG R2 SCORE: 0.9868314429756998, SYMBOLIC: NaN
AVG R2 SCORE: 0.9408483695567045, SYMBOLIC: 0.9438031255746449
AVG R2 SCORE: -18.143940816442832, SYMBOLIC: 0.897437220834868
AVG R2 SCORE: 0.9839228919343448, SYMBOLIC: 0.9841834777140875
AVG R2 SCORE: 0.9683708403271516, SYMBOLIC: 0.9711263062886293
AVG R2 SCORE: 0.9814091466298516, SYMBOLIC: NaN
AVG R2 SCORE: 0.9783129141376219, SYMBOLIC: 0.9761277055611116
AVG R2 SCORE: 0.9841501522748739, SYMBOLIC: 0.9841673305534175
AVG R2 SCORE: 0.9887101518671799, SYMBOLIC: 0.983514785292183
AVG R2 SCORE: 0.9749444261067359, SYMBOLIC: 0.9753390995889416
AVG R2 SCORE: 0.9453636603689455, SYMBOLIC: 0.9420533250549501
AVG R2 SCORE: 0.9767577242735255, SYMBOLIC: 0.9743093399166805
AVG R2 SCORE: 0.975184701429069, SYMBOLIC: 0.975809324086984
AVG R2 SCORE: 0.9739012454683745, SYMBOLIC: 0.9808662193658357
AVG R2 SCORE: -2.582424300507239, SYMBOLIC: NaN
AVG R2 SCORE: 0.9746645208997032, SYMBOLIC: NaN
AVG R2 SCORE: 0.9769253354424896, SYMBOLIC: 0.9774850305388139
AVG R2 SCORE: 0.9784196025821928, SYMBOLIC: 0.9787798556800515
AVG R2 SCORE: 0.9860633087760325, SYMBOLIC: -8.881413965427084
AVG R2 SCORE: 0.8909485129054577, SYMBOLIC: 0.8843815334580581
AVG R2 SCORE: 0.9889585295760928, SYMBOLIC: 0.987636799648356
AVG R2 SCORE: 0.986643186185429, SYMBOLIC: 0.9818373264120352
AVG R2 SCORE: 0.9221129701192002, SYMBOLIC: 0.8710486097809529
AVG R2 SCORE: 0.9730558087654877, SYMBOLIC: 0.9329878031114222
AVG R2 SCORE: 0.9838956926900935, SYMBOLIC: 0.9852312158380108
