AVG R2 SCORE: 0.9972868541317434, SYMBOLIC: NaN
AVG R2 SCORE: -0.38853860352347147, SYMBOLIC: -0.5697815743301058
AVG R2 SCORE: 0.9728647269322999, SYMBOLIC: NaN
AVG R2 SCORE: 0.9679178529316562, SYMBOLIC: 0.7793403557806761
AVG R2 SCORE: -0.003111585875543721, SYMBOLIC: -2.5953524084965096e-05
AVG R2 SCORE: -0.03976642217805515, SYMBOLIC: -0.04556045721448476
AVG R2 SCORE: 0.20607255901703958, SYMBOLIC: -7.926509116202244
AVG R2 SCORE: 0.9884295183384453, SYMBOLIC: 0.9949410278700643
AVG R2 SCORE: 0.9675171792211327, SYMBOLIC: 0.9535704758915541
AVG R2 SCORE: -0.21761149497887433, SYMBOLIC: -0.2575064032789125
AVG R2 SCORE: 0.9332002925960757, SYMBOLIC: 0.8413375676586309
AVG R2 SCORE: 0.9810517905873367, SYMBOLIC: 0.9375319517873624
AVG R2 SCORE: 0.9870115075442697, SYMBOLIC: 0.9398459157678453
AVG R2 SCORE: 0.0638194977665969, SYMBOLIC: 0.06774629639779106
AVG R2 SCORE: 0.9855588560991371, SYMBOLIC: -7.318018448645461
AVG R2 SCORE: -8.07540640190201, SYMBOLIC: NaN
AVG R2 SCORE: 0.7835782384697978, SYMBOLIC: 0.5733277814979327
AVG R2 SCORE: 0.9089370234579244, SYMBOLIC: 0.8075300867193785
AVG R2 SCORE: 0.9821696619337497, SYMBOLIC: 0.9527017119939228
AVG R2 SCORE: 0.982618151030604, SYMBOLIC: 0.9296347271278257
AVG R2 SCORE: 0.9834651190553448, SYMBOLIC: 0.9258850613525554
AVG R2 SCORE: 0.9836484749434767, SYMBOLIC: 0.9885074956832652
AVG R2 SCORE: 0.9371153996952536, SYMBOLIC: NaN
AVG R2 SCORE: 0.9830328347497661, SYMBOLIC: 0.9774832054242729
AVG R2 SCORE: 0.982796286910005, SYMBOLIC: 0.9653567548391623
AVG R2 SCORE: 0.9788180676421836, SYMBOLIC: 0.9316998117221305
AVG R2 SCORE: -15.83678176803621, SYMBOLIC: 0.8905317122361646
AVG R2 SCORE: 0.9843935806737767, SYMBOLIC: 0.9091833260685879
AVG R2 SCORE: 0.510562544974434, SYMBOLIC: 0.9047765300062593
AVG R2 SCORE: 0.9561860266936659, SYMBOLIC: 0.7752770054494209
AVG R2 SCORE: 0.9758923027796617, SYMBOLIC: 0.9622889198654289
AVG R2 SCORE: 0.9753252726224222, SYMBOLIC: 0.9255350331047921
AVG R2 SCORE: 0.9093056022006063, SYMBOLIC: 0.5204358598721626
AVG R2 SCORE: 0.9840351092615636, SYMBOLIC: 0.9596640276050314
AVG R2 SCORE: 0.9667343081247503, SYMBOLIC: 0.9542243739343853
AVG R2 SCORE: 0.9069621364927332, SYMBOLIC: 0.8976443672703404
AVG R2 SCORE: 0.9807994180173033, SYMBOLIC: 0.8232595124865975
AVG R2 SCORE: 0.9486596342372419, SYMBOLIC: NaN
AVG R2 SCORE: 0.9515322077745167, SYMBOLIC: 0.5623634425649033
AVG R2 SCORE: 0.9828336089358788, SYMBOLIC: 0.985843781548599
AVG R2 SCORE: 0.9614789608113945, SYMBOLIC: 0.961595644324245
AVG R2 SCORE: 0.9785776661574145, SYMBOLIC: 0.968689637909428
AVG R2 SCORE: 0.9706844259992636, SYMBOLIC: 0.7585293779713551
AVG R2 SCORE: 0.9774834590986481, SYMBOLIC: -42.34804256960549
AVG R2 SCORE: 0.9521453949684623, SYMBOLIC: 0.9423730358094355
AVG R2 SCORE: 0.931419658722227, SYMBOLIC: 0.7964601390137986
AVG R2 SCORE: 0.9825396962181882, SYMBOLIC: NaN
AVG R2 SCORE: -3.3821708248885525, SYMBOLIC: 0.8185626210820112
AVG R2 SCORE: 0.9819481999660542, SYMBOLIC: 0.8753189217176457
AVG R2 SCORE: 0.9798327596608883, SYMBOLIC: -0.6669604358959371
AVG R2 SCORE: 0.9941383429512541, SYMBOLIC: 0.9856695209707196
AVG R2 SCORE: 0.9668960077147606, SYMBOLIC: 0.9444193189485828
AVG R2 SCORE: 0.9018566576376946, SYMBOLIC: 0.8415744377800021
AVG R2 SCORE: 0.9433302901485565, SYMBOLIC: 0.9911186763961464
AVG R2 SCORE: 0.9716861703076493, SYMBOLIC: 0.814782138066491
