AVG R2 SCORE: 0.9826996343480844, SYMBOLIC: 0.9777300113359987
AVG R2 SCORE: 0.7146127274767663, SYMBOLIC: 0.5596625786221568
AVG R2 SCORE: 0.9525494195699937, SYMBOLIC: 0.9541294648277376
AVG R2 SCORE: -0.03328985233139556, SYMBOLIC: -0.027829626391925766
AVG R2 SCORE: 0.9796844582160056, SYMBOLIC: 0.9795116534286283
AVG R2 SCORE: 0.9820195785924166, SYMBOLIC: 0.9790824874208581
AVG R2 SCORE: 0.8033476554860981, SYMBOLIC: 0.7103395654925171
AVG R2 SCORE: -0.00013257977156522216, SYMBOLIC: NaN
AVG R2 SCORE: -0.49432297620435517, SYMBOLIC: -0.4915526930058613
AVG R2 SCORE: 0.9768244685485316, SYMBOLIC: 0.9724748767463097
AVG R2 SCORE: 0.979730984451286, SYMBOLIC: 0.9786373514970319
AVG R2 SCORE: 0.9540027887311695, SYMBOLIC: 0.9544321966689865
AVG R2 SCORE: -6.106849761412989, SYMBOLIC: NaN
AVG R2 SCORE: -0.48407143256957863, SYMBOLIC: -0.4813721092716712
AVG R2 SCORE: 0.9862734074625376, SYMBOLIC: 0.9802830013018882
AVG R2 SCORE: -0.014356754991150827, SYMBOLIC: -0.011690322026205874
AVG R2 SCORE: -0.000408510537611817, SYMBOLIC: -0.0005056018463382439
AVG R2 SCORE: 0.9397378043684319, SYMBOLIC: NaN
AVG R2 SCORE: -2.732292317780746, SYMBOLIC: -2.7336618702427824
AVG R2 SCORE: -1.658212262463534, SYMBOLIC: -1.5564470394786598
AVG R2 SCORE: 0.967928716176504, SYMBOLIC: 0.9652620764685166
AVG R2 SCORE: 0.9857727641424249, SYMBOLIC: 0.9834522112263211
AVG R2 SCORE: 0.981725253669812, SYMBOLIC: 0.9766288388825004
AVG R2 SCORE: 0.9797594268826797, SYMBOLIC: 0.9746668685350189
AVG R2 SCORE: 0.9844692317061872, SYMBOLIC: 0.9816534381346478
AVG R2 SCORE: 0.9759391198135801, SYMBOLIC: 0.9725358867852638
AVG R2 SCORE: 0.9882235515597078, SYMBOLIC: 0.9877862801092676
AVG R2 SCORE: 0.9810765099940199, SYMBOLIC: 0.9812843163520849
AVG R2 SCORE: 0.9918335917169685, SYMBOLIC: 0.9892607431253816
