AVG R2 SCORE: 0.9973308307780271, SYMBOLIC: 0.997517351802206
AVG R2 SCORE: 0.9976006735296621, SYMBOLIC: 0.9965118199042639
AVG R2 SCORE: 0.9962695732339047, SYMBOLIC: 0.9966158652922427
AVG R2 SCORE: 0.9972106690653811, SYMBOLIC: 0.7177487892144538
AVG R2 SCORE: 0.9949466378232139, SYMBOLIC: 0.9943459455112317
AVG R2 SCORE: 0.992832783073152, SYMBOLIC: -5.08632817869475
AVG R2 SCORE: 0.9937575963282771, SYMBOLIC: -2.4115589661091925
AVG R2 SCORE: 0.967129404775182, SYMBOLIC: 0.9660937557850717
AVG R2 SCORE: 0.9973684032777974, SYMBOLIC: 0.9964668934743433
AVG R2 SCORE: 0.9965686762662939, SYMBOLIC: 0.7041795141723652
AVG R2 SCORE: 0.9838453199504494, SYMBOLIC: 0.9872936743803891
AVG R2 SCORE: 0.9971691687113207, SYMBOLIC: 0.9968516865263519
AVG R2 SCORE: 0.9974080769718415, SYMBOLIC: 0.9966515947830475
AVG R2 SCORE: 0.9840188308332991, SYMBOLIC: 0.9871574341674961
AVG R2 SCORE: 0.9551863970376091, SYMBOLIC: 0.9545000127670612
AVG R2 SCORE: 0.9955133235278495, SYMBOLIC: 0.9952751217973574
AVG R2 SCORE: 0.9702154059719152, SYMBOLIC: 0.9746369502400741
AVG R2 SCORE: 0.9968098125387093, SYMBOLIC: 0.9965319472500701
AVG R2 SCORE: 0.9951006745252358, SYMBOLIC: 0.9950563631607552
AVG R2 SCORE: 0.995543102588319, SYMBOLIC: 0.9954042438620704
AVG R2 SCORE: 0.9951492397895932, SYMBOLIC: 0.9954020881446961
AVG R2 SCORE: 0.9984901719261895, SYMBOLIC: 0.9975036595082
AVG R2 SCORE: 0.9967483351104345, SYMBOLIC: 0.9966858398064573
AVG R2 SCORE: 0.9975575101293688, SYMBOLIC: 0.9974739396982699
AVG R2 SCORE: 0.9936182285721857, SYMBOLIC: 0.9937216104721495
AVG R2 SCORE: 0.995917991723656, SYMBOLIC: 0.9956488964135775
AVG R2 SCORE: 0.9960074873836716, SYMBOLIC: 0.9945883720668366
AVG R2 SCORE: 0.9973728745033478, SYMBOLIC: 0.9970758483040627
AVG R2 SCORE: 0.9969055762422881, SYMBOLIC: 0.9970195203167885
AVG R2 SCORE: 0.9974974517033597, SYMBOLIC: 0.997157305709482
AVG R2 SCORE: 0.996425018313669, SYMBOLIC: 0.9963884658191906
AVG R2 SCORE: 0.9968738274184149, SYMBOLIC: 0.9968146181572596
AVG R2 SCORE: 0.9972555052579585, SYMBOLIC: 0.9968070215803229
AVG R2 SCORE: 0.9953118099844205, SYMBOLIC: 0.9945600157224121
AVG R2 SCORE: 0.990462264611992, SYMBOLIC: 0.9908828579268936
AVG R2 SCORE: 0.996659055311134, SYMBOLIC: 0.9965330304716591
AVG R2 SCORE: 0.9954314114829353, SYMBOLIC: 0.9944444991666753
AVG R2 SCORE: 0.9984220217763934, SYMBOLIC: 0.9900027301156247
AVG R2 SCORE: 0.9351708991794037, SYMBOLIC: 0.9346134583373493
AVG R2 SCORE: 0.9976412967110313, SYMBOLIC: 0.9961943659674413
AVG R2 SCORE: 0.9957657546276187, SYMBOLIC: 0.9950406008296618
AVG R2 SCORE: 0.9966900783338137, SYMBOLIC: 0.9962074741278406
AVG R2 SCORE: 0.9927847264799788, SYMBOLIC: 0.9929972339264376
AVG R2 SCORE: 0.9971958997739065, SYMBOLIC: 0.9967918226975913
AVG R2 SCORE: 0.98915537727487, SYMBOLIC: 0.9910763349697933
AVG R2 SCORE: 0.9933517358000925, SYMBOLIC: 0.9876916369448916
AVG R2 SCORE: 0.9953593143178686, SYMBOLIC: 0.9952483425117025
AVG R2 SCORE: 0.28935161108218854, SYMBOLIC: 0.3182710401538795
AVG R2 SCORE: 0.997169579459341, SYMBOLIC: 0.997031695861882
AVG R2 SCORE: 0.9965079414736338, SYMBOLIC: 0.9948811405993793
AVG R2 SCORE: 0.9972698812245708, SYMBOLIC: 0.9936633653159569
AVG R2 SCORE: 0.9947782845196778, SYMBOLIC: 0.9943594588079473
AVG R2 SCORE: 0.9809803491622267, SYMBOLIC: 0.9820591273459283
AVG R2 SCORE: 0.9956589676745325, SYMBOLIC: 0.994335590688749
AVG R2 SCORE: 0.9901545380308239, SYMBOLIC: 0.8761711582601681
AVG R2 SCORE: 0.9978598373002173, SYMBOLIC: 0.9977927212609633
AVG R2 SCORE: 0.9973204636770332, SYMBOLIC: 0.9974206203721624
AVG R2 SCORE: 0.9974845263629505, SYMBOLIC: 0.9975258239784474
AVG R2 SCORE: 0.9922331464574923, SYMBOLIC: 0.9919263835740142
AVG R2 SCORE: 0.9933347164373206, SYMBOLIC: 0.9941669744191094
AVG R2 SCORE: 0.9973899042020586, SYMBOLIC: 0.9974257220816337
AVG R2 SCORE: 0.988315932315752, SYMBOLIC: 0.9893440146824796
AVG R2 SCORE: 0.9947867890417067, SYMBOLIC: 0.9924744152505821
AVG R2 SCORE: 0.998594197424911, SYMBOLIC: 0.9984264966528542
AVG R2 SCORE: 0.9976109484146939, SYMBOLIC: 0.9975072682143242
AVG R2 SCORE: 0.9977533032561784, SYMBOLIC: 0.9973559815128008
AVG R2 SCORE: 0.9984467002059538, SYMBOLIC: 0.9981158146254165
AVG R2 SCORE: 0.9980711372836767, SYMBOLIC: 0.9974805986046523
AVG R2 SCORE: 0.9969291282182768, SYMBOLIC: 0.9965922782817045
AVG R2 SCORE: 0.9977052211977372, SYMBOLIC: 0.9971056532866093
AVG R2 SCORE: 0.9976867289020424, SYMBOLIC: 0.9973098957981872
AVG R2 SCORE: 0.996898558024065, SYMBOLIC: 0.9965596400612574
AVG R2 SCORE: 0.998456237629632, SYMBOLIC: 0.9983378382145786
AVG R2 SCORE: 0.9985774328043366, SYMBOLIC: 0.9980582473476217
AVG R2 SCORE: 0.9957539587136617, SYMBOLIC: 0.9954290405085692
AVG R2 SCORE: 0.9973388820468044, SYMBOLIC: 0.9969549202550606
AVG R2 SCORE: 0.9938335091342014, SYMBOLIC: -14.787064091979932
AVG R2 SCORE: 0.9988272834595538, SYMBOLIC: 0.996576456746222
AVG R2 SCORE: 0.9935141071517472, SYMBOLIC: 0.9936503723546238
AVG R2 SCORE: 0.9954942334958585, SYMBOLIC: 0.9950285628103324
AVG R2 SCORE: 0.9972287372300015, SYMBOLIC: 0.9968439177995144
AVG R2 SCORE: 0.998407618959058, SYMBOLIC: 0.9963852677603735
AVG R2 SCORE: 0.992103553307951, SYMBOLIC: 0.9926632698648553
AVG R2 SCORE: 0.9937680612206478, SYMBOLIC: 0.994216852340419
AVG R2 SCORE: 0.9931225672765969, SYMBOLIC: 0.9938290981216319
AVG R2 SCORE: 0.9937589590024669, SYMBOLIC: 0.9950845433810065
AVG R2 SCORE: 0.9946084451030585, SYMBOLIC: 0.9952053528885804
AVG R2 SCORE: 0.9973299000932022, SYMBOLIC: 0.9970553293808332
AVG R2 SCORE: 0.99744826880814, SYMBOLIC: 0.9968401140600262
AVG R2 SCORE: 0.9972177213723769, SYMBOLIC: 0.9968154259608206
AVG R2 SCORE: 0.994952409463128, SYMBOLIC: 0.9789361960123135
AVG R2 SCORE: 0.9943975228585973, SYMBOLIC: 0.9940526582405115
AVG R2 SCORE: 0.9935986520472716, SYMBOLIC: 0.9936681573347299
AVG R2 SCORE: 0.9541341826403694, SYMBOLIC: 0.9539042015382957
AVG R2 SCORE: 0.994583406074143, SYMBOLIC: 0.9934433805395062
AVG R2 SCORE: 0.9980887590331238, SYMBOLIC: 0.9976304478734143
AVG R2 SCORE: 0.9965933255204692, SYMBOLIC: 0.9962946395579279
AVG R2 SCORE: 0.9974671870325631, SYMBOLIC: 0.997012982312181
AVG R2 SCORE: 0.9954925410684061, SYMBOLIC: 0.9941000091763204
AVG R2 SCORE: 0.9887074865997459, SYMBOLIC: 0.9902906820171482
AVG R2 SCORE: 0.9928574274627509, SYMBOLIC: 0.9931113564664159
AVG R2 SCORE: 0.9928921421027289, SYMBOLIC: 0.9934636299018041
AVG R2 SCORE: 0.9916819682801922, SYMBOLIC: 0.9929903509892335
AVG R2 SCORE: 0.9981488328611886, SYMBOLIC: 0.9970642697213413
AVG R2 SCORE: 0.9965539596210488, SYMBOLIC: 0.9934300727543632
AVG R2 SCORE: 0.9984132554751629, SYMBOLIC: 0.9921301360873025
AVG R2 SCORE: 0.9958310336204005, SYMBOLIC: 0.9943854751984996
AVG R2 SCORE: 0.9601294479468341, SYMBOLIC: 0.9673515383381897
AVG R2 SCORE: 0.9952282986029637, SYMBOLIC: 0.9954747501301691
AVG R2 SCORE: 0.994669641394343, SYMBOLIC: 0.9946536554874715
AVG R2 SCORE: 0.9956223545127783, SYMBOLIC: 0.9954840718484667
AVG R2 SCORE: 0.995852952345814, SYMBOLIC: 0.9964412979292564
AVG R2 SCORE: 0.9970333158074507, SYMBOLIC: 0.9965323503431052
AVG R2 SCORE: 0.9977708392528135, SYMBOLIC: 0.99769963024407
AVG R2 SCORE: 0.9955482714736591, SYMBOLIC: 0.10120329616466095
AVG R2 SCORE: 0.9957984085687908, SYMBOLIC: 0.9947980754524829
AVG R2 SCORE: 0.9880067133244199, SYMBOLIC: 0.9891733213054208
AVG R2 SCORE: 0.9950971794053702, SYMBOLIC: 0.9953146845294125
AVG R2 SCORE: 0.9980771835130577, SYMBOLIC: 0.9978256635340064
AVG R2 SCORE: 0.9977394974002741, SYMBOLIC: 0.9972737682604457
AVG R2 SCORE: 0.9982283747558638, SYMBOLIC: 0.9976417105567508
AVG R2 SCORE: 0.9948484329361688, SYMBOLIC: 0.9949314326016245
AVG R2 SCORE: 0.9951085286885317, SYMBOLIC: 0.7860538439578708
AVG R2 SCORE: 0.9956795763535556, SYMBOLIC: 0.9949889058715442
AVG R2 SCORE: 0.9950428767044969, SYMBOLIC: 0.9949038923812369
AVG R2 SCORE: 0.9958303543775567, SYMBOLIC: 0.9958453400185981
AVG R2 SCORE: 0.99758958309345, SYMBOLIC: 0.9970685718149929
AVG R2 SCORE: 0.9875667878404849, SYMBOLIC: 0.9876933884746792
AVG R2 SCORE: 0.9963764567830562, SYMBOLIC: 0.9969160710222504
AVG R2 SCORE: 0.9969727833900044, SYMBOLIC: 0.9966842395101807
AVG R2 SCORE: 0.9966093783487416, SYMBOLIC: 0.9753612664348987
AVG R2 SCORE: 0.9951331558804218, SYMBOLIC: 0.9641981851318657
AVG R2 SCORE: 0.9972786055188857, SYMBOLIC: 0.99735618806427
AVG R2 SCORE: 0.9940698704817333, SYMBOLIC: 0.9947361165455132
AVG R2 SCORE: 0.9904565525952558, SYMBOLIC: 0.9910908425439651
AVG R2 SCORE: 0.996630015012009, SYMBOLIC: 0.9966888166197283
AVG R2 SCORE: 0.9966169832284214, SYMBOLIC: 0.9967289473182835
AVG R2 SCORE: 0.9981407844789054, SYMBOLIC: 0.9971360794866947
AVG R2 SCORE: 0.9928341831738614, SYMBOLIC: 0.9932921368006928
AVG R2 SCORE: 0.9836876454833975, SYMBOLIC: 0.9846507380470405
AVG R2 SCORE: 0.9957391802438815, SYMBOLIC: -2.161807770957381
AVG R2 SCORE: 0.9893973225801411, SYMBOLIC: 0.9923632377374145
AVG R2 SCORE: 0.9911412121082355, SYMBOLIC: 0.9912866207675612
AVG R2 SCORE: 0.9971771435535216, SYMBOLIC: 0.9967579802669586
AVG R2 SCORE: 0.998128886391679, SYMBOLIC: 0.9979173723079299
AVG R2 SCORE: 0.9984901628504155, SYMBOLIC: 0.9983526173025151
AVG R2 SCORE: 0.9985980530409732, SYMBOLIC: 0.9980777012006395
AVG R2 SCORE: 0.9988387669475314, SYMBOLIC: 0.9963772652445191
AVG R2 SCORE: 0.9983003533654717, SYMBOLIC: 0.9980119992607676
AVG R2 SCORE: 0.998151280736775, SYMBOLIC: 0.9975066276990244
AVG R2 SCORE: 0.9977427307479318, SYMBOLIC: 0.9972599390882578
AVG R2 SCORE: 0.99802760204391, SYMBOLIC: 0.9974135872991712
AVG R2 SCORE: 0.9986417875539068, SYMBOLIC: 0.998377493028022
AVG R2 SCORE: 0.998067572868308, SYMBOLIC: 0.9973777362573397
AVG R2 SCORE: 0.998455203964342, SYMBOLIC: 0.9983191956266975
AVG R2 SCORE: 0.9984426732095775, SYMBOLIC: 0.9902070902112662
AVG R2 SCORE: 0.9975846858322942, SYMBOLIC: 0.9946313059068264
AVG R2 SCORE: 0.9980777077920698, SYMBOLIC: 0.9976002840089414
AVG R2 SCORE: 0.9974802714358332, SYMBOLIC: -24.84371559653414
AVG R2 SCORE: 0.998381811975228, SYMBOLIC: 0.9981482227688256
AVG R2 SCORE: 0.995761278682229, SYMBOLIC: 0.995276633929253
AVG R2 SCORE: 0.9949747747495856, SYMBOLIC: 0.995601795116194
AVG R2 SCORE: 0.9985708483331935, SYMBOLIC: 0.9964132118248717
AVG R2 SCORE: 0.9946942136194058, SYMBOLIC: 0.994852428549734
AVG R2 SCORE: 0.9980033465515719, SYMBOLIC: 0.9950606786221207
AVG R2 SCORE: 0.9980239943154933, SYMBOLIC: 0.9978362405882861
AVG R2 SCORE: 0.9971298055554583, SYMBOLIC: 0.9973538209281848
AVG R2 SCORE: 0.9975369776053774, SYMBOLIC: 0.9785254881179959
AVG R2 SCORE: 0.9954241367254463, SYMBOLIC: 0.9954210907680487
AVG R2 SCORE: 0.9931244444704193, SYMBOLIC: 0.9939827402352028
AVG R2 SCORE: 0.9977715741764158, SYMBOLIC: 0.9972116843686633
AVG R2 SCORE: 0.9974213225003982, SYMBOLIC: 0.9973164681436556
AVG R2 SCORE: 0.9973682198601772, SYMBOLIC: 0.9971495676403961
AVG R2 SCORE: 0.9984460784649709, SYMBOLIC: 0.9982804640634626
AVG R2 SCORE: 0.9966201642025874, SYMBOLIC: 0.9967972626339863
AVG R2 SCORE: 0.995904613450162, SYMBOLIC: 0.9948769393815682
AVG R2 SCORE: 0.996722171144124, SYMBOLIC: 0.9913686545043745
AVG R2 SCORE: 0.9952845479911422, SYMBOLIC: 0.9954555023569669
