AVG R2 SCORE: 0.9535942588305405, SYMBOLIC: 0.9557621440828487
AVG R2 SCORE: 0.9781235258414801, SYMBOLIC: 0.9791372831241762
AVG R2 SCORE: 0.8890631633460981, SYMBOLIC: 0.864449155026786
AVG R2 SCORE: 0.9876037333311677, SYMBOLIC: 0.9880803545542824
AVG R2 SCORE: 0.967982873204849, SYMBOLIC: 0.9686095843167547
AVG R2 SCORE: -0.1368707092532814, SYMBOLIC: NaN
AVG R2 SCORE: 0.9684049537373337, SYMBOLIC: 0.971463880196446
AVG R2 SCORE: -3.937123694405981, SYMBOLIC: -3.9212918247274486
AVG R2 SCORE: 0.9811625531812299, SYMBOLIC: 0.9807877618930796
AVG R2 SCORE: 0.0316862680395202, SYMBOLIC: 0.03860379431751595
AVG R2 SCORE: 0.93402238179895, SYMBOLIC: 0.9282732036459328
AVG R2 SCORE: -0.002407298248050508, SYMBOLIC: -0.0018280198878955118
AVG R2 SCORE: 0.972168979933466, SYMBOLIC: 0.9743925450970248
AVG R2 SCORE: -1.2297989327169268, SYMBOLIC: NaN
AVG R2 SCORE: 0.9934813679053649, SYMBOLIC: 0.993505251797718
AVG R2 SCORE: 0.9373120265490011, SYMBOLIC: 0.9358347736461129
AVG R2 SCORE: 0.8754004409685359, SYMBOLIC: 0.8805245769314484
AVG R2 SCORE: 0.6794963656013695, SYMBOLIC: 0.6766748214947532
AVG R2 SCORE: 0.9878096438065057, SYMBOLIC: 0.9886079245267704
AVG R2 SCORE: 0.6417232769959069, SYMBOLIC: 0.6268581237710342
AVG R2 SCORE: 0.9878667050362457, SYMBOLIC: 0.9879978965478178
AVG R2 SCORE: 0.9947263433841318, SYMBOLIC: 0.99484979296037
AVG R2 SCORE: 0.9358045221329604, SYMBOLIC: 0.9358070478004586
AVG R2 SCORE: 0.9848166729253435, SYMBOLIC: 0.9859975719825845
AVG R2 SCORE: 0.9724704483008977, SYMBOLIC: 0.9734126911610129
AVG R2 SCORE: 0.9966704337553205, SYMBOLIC: 0.9966617925102552
AVG R2 SCORE: 0.9975371385378979, SYMBOLIC: 0.9968840210760609
AVG R2 SCORE: 0.9965929708472855, SYMBOLIC: 0.9966322626615945
AVG R2 SCORE: 0.9906146779764139, SYMBOLIC: 0.9911024502609305
AVG R2 SCORE: 0.9968503846518776, SYMBOLIC: 0.996680304195579
AVG R2 SCORE: 0.9976498350771238, SYMBOLIC: 0.99713745747205
AVG R2 SCORE: 0.9971588928042325, SYMBOLIC: 0.9970163347254662
AVG R2 SCORE: 0.9695010065946116, SYMBOLIC: 0.9697425221804895
AVG R2 SCORE: 0.889338456452249, SYMBOLIC: 0.8890828391362465
AVG R2 SCORE: 0.9126869011424125, SYMBOLIC: 0.9134068650948682
AVG R2 SCORE: 0.9938398125570829, SYMBOLIC: 0.9946873821033839
AVG R2 SCORE: 0.9926412710871891, SYMBOLIC: 0.990279024028907
AVG R2 SCORE: 0.984079968296837, SYMBOLIC: 0.9844760762397704
AVG R2 SCORE: 0.36303620099073325, SYMBOLIC: 0.36375190578261174
AVG R2 SCORE: 0.9633545551015218, SYMBOLIC: 0.9637123667932586
AVG R2 SCORE: 0.9762021925821868, SYMBOLIC: 0.9761536862073584
AVG R2 SCORE: 0.987031437804171, SYMBOLIC: 0.98914475047297
AVG R2 SCORE: 0.9460073702491157, SYMBOLIC: 0.9479738641344165
AVG R2 SCORE: 0.9977101233918733, SYMBOLIC: 0.8944219475099956
AVG R2 SCORE: 0.253432153144568, SYMBOLIC: NaN
AVG R2 SCORE: 0.9637003693806866, SYMBOLIC: 0.9642754973135587
AVG R2 SCORE: 0.9724829022326368, SYMBOLIC: 0.9717622361504556
AVG R2 SCORE: -0.04741260104052301, SYMBOLIC: -0.04488943789360853
AVG R2 SCORE: 0.9809123990486471, SYMBOLIC: 0.9816240395012632
