AVG R2 SCORE: 0.8650553569826817, SYMBOLIC: 0.8499719589992564
AVG R2 SCORE: -0.07159005194563495, SYMBOLIC: -0.0808498923680616
AVG R2 SCORE: 0.7381836322751114, SYMBOLIC: 0.24054295075151017
AVG R2 SCORE: 0.8677126856865207, SYMBOLIC: 0.871024958219197
AVG R2 SCORE: 0.05670980862679683, SYMBOLIC: 0.05598992397041481
AVG R2 SCORE: -2.0112653645965706, SYMBOLIC: NaN
AVG R2 SCORE: -5.69050765229672, SYMBOLIC: NaN
AVG R2 SCORE: 0.9495803737107948, SYMBOLIC: 0.9503800391400137
AVG R2 SCORE: 0.57318558598767, SYMBOLIC: 0.5503604004020534
AVG R2 SCORE: 0.3172513383842514, SYMBOLIC: 0.32339220146049835
AVG R2 SCORE: 0.9393333412110707, SYMBOLIC: 0.9380826545402845
AVG R2 SCORE: -0.05032499777757774, SYMBOLIC: NaN
AVG R2 SCORE: -0.5076841247289061, SYMBOLIC: NaN
AVG R2 SCORE: -4.391523129069871, SYMBOLIC: NaN
AVG R2 SCORE: -5.428792525812051, SYMBOLIC: 0.20633617664320822
AVG R2 SCORE: 0.8825115375006509, SYMBOLIC: 0.8834480132492466
AVG R2 SCORE: 0.8902299894395177, SYMBOLIC: 0.912419551634594
AVG R2 SCORE: 0.9301915237983895, SYMBOLIC: 0.9310939345049282
AVG R2 SCORE: -0.20748164526679194, SYMBOLIC: NaN
AVG R2 SCORE: 0.8302184726613764, SYMBOLIC: 0.8347781160912136
AVG R2 SCORE: 0.7381610142335655, SYMBOLIC: -0.8979114386449651
AVG R2 SCORE: -0.4459518757115296, SYMBOLIC: -1.6243690099586725
AVG R2 SCORE: 0.9657182066188669, SYMBOLIC: 0.965834396843423
AVG R2 SCORE: 0.5952013752536959, SYMBOLIC: 0.5238562241407926
AVG R2 SCORE: 0.9494513275154676, SYMBOLIC: 0.9515886355412112
AVG R2 SCORE: 0.8599768275034323, SYMBOLIC: 0.8500473322010833
AVG R2 SCORE: 0.8943733429920224, SYMBOLIC: 0.8894257876105575
AVG R2 SCORE: 0.9660867106798225, SYMBOLIC: 0.9669464971244854
AVG R2 SCORE: 0.7601192953153751, SYMBOLIC: NaN
AVG R2 SCORE: 0.8817643030756978, SYMBOLIC: 0.8644889273994186
AVG R2 SCORE: 0.9409734542442701, SYMBOLIC: NaN
AVG R2 SCORE: 0.9371185715309353, SYMBOLIC: 0.9389807580278708
AVG R2 SCORE: 0.9669744765609043, SYMBOLIC: 0.9669404468183759
AVG R2 SCORE: 0.8495397696372048, SYMBOLIC: 0.8458112399073994
AVG R2 SCORE: 0.9714876367756747, SYMBOLIC: 0.9718165211726091
AVG R2 SCORE: 0.9101552223093151, SYMBOLIC: 0.9121215312049424
AVG R2 SCORE: 0.9111584568139837, SYMBOLIC: 0.9084738389816133
AVG R2 SCORE: 0.9505532236180748, SYMBOLIC: 0.9513567541103698
AVG R2 SCORE: 0.7902460922372957, SYMBOLIC: 0.7928003874251882
AVG R2 SCORE: 0.902033921683214, SYMBOLIC: NaN
AVG R2 SCORE: 0.9085065047553346, SYMBOLIC: 0.8855975498041482
AVG R2 SCORE: 0.8687946621978041, SYMBOLIC: 0.8727017316590016
AVG R2 SCORE: -2.6958324330886763, SYMBOLIC: -2.695675123926362
