AVG R2 SCORE: -0.38381757920211645, SYMBOLIC: NaN
AVG R2 SCORE: -6.084991571971903, SYMBOLIC: NaN
AVG R2 SCORE: -0.39694198515066925, SYMBOLIC: NaN
AVG R2 SCORE: -1.909952396002861, SYMBOLIC: NaN
AVG R2 SCORE: -3.4513457259057363, SYMBOLIC: NaN
AVG R2 SCORE: -1.9368215920520842, SYMBOLIC: NaN
AVG R2 SCORE: -1.424085220098873, SYMBOLIC: NaN
AVG R2 SCORE: -0.5572293737651767, SYMBOLIC: NaN
AVG R2 SCORE: -2.9909988620437904, SYMBOLIC: NaN
AVG R2 SCORE: -5.22971252914092, SYMBOLIC: NaN
AVG R2 SCORE: -2.272994101199108, SYMBOLIC: NaN
AVG R2 SCORE: -1.0542801457088844, SYMBOLIC: NaN
AVG R2 SCORE: -0.433273374975095, SYMBOLIC: NaN
AVG R2 SCORE: -6.07981605328152, SYMBOLIC: NaN
AVG R2 SCORE: -3.80112364931566, SYMBOLIC: NaN
AVG R2 SCORE: -0.45052282919221864, SYMBOLIC: NaN
AVG R2 SCORE: 0.5286243770427905, SYMBOLIC: NaN
AVG R2 SCORE: -0.005847281027677383, SYMBOLIC: -0.0035091178254254615
AVG R2 SCORE: -0.024452681879582383, SYMBOLIC: NaN
AVG R2 SCORE: -0.7290061656953039, SYMBOLIC: NaN
AVG R2 SCORE: -0.012524994496023178, SYMBOLIC: NaN
AVG R2 SCORE: 0.39497069629027587, SYMBOLIC: NaN
AVG R2 SCORE: -2.0191553341313995, SYMBOLIC: NaN
AVG R2 SCORE: -0.3077662959693026, SYMBOLIC: NaN
AVG R2 SCORE: -5.975040992964143, SYMBOLIC: NaN
AVG R2 SCORE: 0.015009395573969282, SYMBOLIC: NaN
AVG R2 SCORE: 0.2201138970915113, SYMBOLIC: NaN
AVG R2 SCORE: -1.7625765666045583, SYMBOLIC: NaN
AVG R2 SCORE: -0.13254630181203989, SYMBOLIC: NaN
AVG R2 SCORE: -2.213952326980508, SYMBOLIC: NaN
AVG R2 SCORE: -5.292509547655207, SYMBOLIC: NaN
AVG R2 SCORE: -0.7777964444871937, SYMBOLIC: NaN
AVG R2 SCORE: -4.765310275418323, SYMBOLIC: NaN
AVG R2 SCORE: -0.16835970516366566, SYMBOLIC: NaN
AVG R2 SCORE: -1.450525119571559, SYMBOLIC: NaN
AVG R2 SCORE: 0.21626216914782018, SYMBOLIC: NaN
AVG R2 SCORE: -3.7046821679844726, SYMBOLIC: NaN
AVG R2 SCORE: 0.6900760083368637, SYMBOLIC: 0.18011041080607246
AVG R2 SCORE: 0.3106121581671077, SYMBOLIC: NaN
AVG R2 SCORE: -1.400634718447555, SYMBOLIC: NaN
AVG R2 SCORE: -0.8382015106467872, SYMBOLIC: NaN
AVG R2 SCORE: 0.15286344108536046, SYMBOLIC: NaN
AVG R2 SCORE: -0.08466945646753167, SYMBOLIC: NaN
AVG R2 SCORE: -0.5819588833886583, SYMBOLIC: NaN
AVG R2 SCORE: -2.074733616362763, SYMBOLIC: NaN
AVG R2 SCORE: -0.5064382090799239, SYMBOLIC: NaN
AVG R2 SCORE: -0.00995955935443692, SYMBOLIC: -0.012426137120248183
AVG R2 SCORE: -1.1717462168800392, SYMBOLIC: NaN
AVG R2 SCORE: -5.514162471452098, SYMBOLIC: NaN
AVG R2 SCORE: -0.22111465656249168, SYMBOLIC: NaN
AVG R2 SCORE: -1.1480015532627128, SYMBOLIC: NaN
AVG R2 SCORE: -5.567858417189037, SYMBOLIC: NaN
AVG R2 SCORE: -1.4324377531645751, SYMBOLIC: NaN
AVG R2 SCORE: -5.946724241979395, SYMBOLIC: NaN
AVG R2 SCORE: -4.449312835888931, SYMBOLIC: NaN
AVG R2 SCORE: -1.8456784090900813, SYMBOLIC: NaN
AVG R2 SCORE: -0.6330868984623711, SYMBOLIC: NaN
AVG R2 SCORE: -0.46503347800274086, SYMBOLIC: NaN
AVG R2 SCORE: -0.011972840277948987, SYMBOLIC: -0.012147752147703549
AVG R2 SCORE: -0.4872358536196314, SYMBOLIC: NaN
AVG R2 SCORE: -1.6106047301336603, SYMBOLIC: NaN
AVG R2 SCORE: -4.639524768902543, SYMBOLIC: NaN
AVG R2 SCORE: 0.612114650844186, SYMBOLIC: 0.6107111345251007
AVG R2 SCORE: 0.6603393501527351, SYMBOLIC: 0.6636272185528339
AVG R2 SCORE: 0.38600373179431097, SYMBOLIC: NaN
AVG R2 SCORE: 0.19489811181643013, SYMBOLIC: 0.19493397427147768
AVG R2 SCORE: -0.16795803299084372, SYMBOLIC: NaN
AVG R2 SCORE: 0.3848886035710015, SYMBOLIC: NaN
AVG R2 SCORE: 0.25831084539411187, SYMBOLIC: NaN
AVG R2 SCORE: -0.46024059435838605, SYMBOLIC: NaN
AVG R2 SCORE: 0.41415287400658785, SYMBOLIC: 0.4079563610442239
AVG R2 SCORE: 0.16927749230302583, SYMBOLIC: NaN
AVG R2 SCORE: -0.27781978351186826, SYMBOLIC: NaN
AVG R2 SCORE: 0.0617721007902371, SYMBOLIC: NaN
AVG R2 SCORE: -0.004666971193274901, SYMBOLIC: NaN
AVG R2 SCORE: -0.8298416848161776, SYMBOLIC: NaN
AVG R2 SCORE: -0.7420734937835917, SYMBOLIC: NaN
AVG R2 SCORE: -1.4755784910063132, SYMBOLIC: NaN
AVG R2 SCORE: -6.256300363390678, SYMBOLIC: NaN
AVG R2 SCORE: 0.7472858896774991, SYMBOLIC: 0.7355661378595246
AVG R2 SCORE: -1.1479197147013576, SYMBOLIC: NaN
AVG R2 SCORE: -3.558311448538648, SYMBOLIC: NaN
AVG R2 SCORE: -1.3220894164989487, SYMBOLIC: NaN
AVG R2 SCORE: -1.8891104697956622, SYMBOLIC: NaN
AVG R2 SCORE: 0.49085979555416687, SYMBOLIC: 0.40451501401597983
AVG R2 SCORE: -6.256300363390678, SYMBOLIC: NaN
AVG R2 SCORE: -2.3560276622689065, SYMBOLIC: NaN
AVG R2 SCORE: -4.163193573603533, SYMBOLIC: NaN
AVG R2 SCORE: -5.474992952327549, SYMBOLIC: NaN
AVG R2 SCORE: -3.127193800290989, SYMBOLIC: NaN
AVG R2 SCORE: -0.9786168693825058, SYMBOLIC: NaN
AVG R2 SCORE: -4.137431726233256, SYMBOLIC: NaN
AVG R2 SCORE: 0.4729978606161483, SYMBOLIC: NaN
AVG R2 SCORE: 0.34182123689195404, SYMBOLIC: NaN
AVG R2 SCORE: -0.7488409197635746, SYMBOLIC: NaN
AVG R2 SCORE: -1.8777563315040637, SYMBOLIC: NaN
AVG R2 SCORE: 0.003973707656149642, SYMBOLIC: NaN
AVG R2 SCORE: -2.063062769166055, SYMBOLIC: NaN
AVG R2 SCORE: -0.19332173771980363, SYMBOLIC: NaN
AVG R2 SCORE: -1.0433357428844543, SYMBOLIC: NaN
AVG R2 SCORE: -1.404414000953479, SYMBOLIC: NaN
AVG R2 SCORE: -3.714326245251083, SYMBOLIC: NaN
AVG R2 SCORE: -6.256300363390678, SYMBOLIC: NaN
AVG R2 SCORE: -0.04956643052817506, SYMBOLIC: NaN
AVG R2 SCORE: -2.8331306823101055, SYMBOLIC: NaN
AVG R2 SCORE: 0.30253378703067724, SYMBOLIC: NaN
AVG R2 SCORE: 0.1918585116572822, SYMBOLIC: NaN
AVG R2 SCORE: -1.1812128468648522, SYMBOLIC: NaN
AVG R2 SCORE: -0.7876440692152678, SYMBOLIC: NaN
AVG R2 SCORE: -3.8493759079549803, SYMBOLIC: NaN
AVG R2 SCORE: -1.1318509030412978, SYMBOLIC: NaN
AVG R2 SCORE: -2.142931300977784, SYMBOLIC: NaN
AVG R2 SCORE: 0.020064946129043436, SYMBOLIC: NaN
AVG R2 SCORE: 0.6194492752250023, SYMBOLIC: 0.5973644667542956
AVG R2 SCORE: -5.141810312532852, SYMBOLIC: NaN
AVG R2 SCORE: 0.6829623806487459, SYMBOLIC: 0.6840489712500752
AVG R2 SCORE: -0.41575735567458155, SYMBOLIC: NaN
AVG R2 SCORE: -1.5652370193708165, SYMBOLIC: NaN
AVG R2 SCORE: -1.0208918832425242, SYMBOLIC: NaN
AVG R2 SCORE: -0.4439045749422657, SYMBOLIC: NaN
AVG R2 SCORE: -0.6626671365754313, SYMBOLIC: NaN
AVG R2 SCORE: -1.5421236902314028, SYMBOLIC: NaN
AVG R2 SCORE: -1.1597693323532317, SYMBOLIC: NaN
AVG R2 SCORE: -1.4651312836229513, SYMBOLIC: NaN
AVG R2 SCORE: -2.1384219599518093, SYMBOLIC: NaN
AVG R2 SCORE: -1.8448176617149314, SYMBOLIC: NaN
AVG R2 SCORE: -0.6976479915332313, SYMBOLIC: NaN
AVG R2 SCORE: -1.5327411518998941, SYMBOLIC: NaN
AVG R2 SCORE: -1.197192497218665, SYMBOLIC: NaN
