AVG R2 SCORE: 0.5684537015862967, SYMBOLIC: NaN
AVG R2 SCORE: 0.9829046022837921, SYMBOLIC: 0.33055121695403433
AVG R2 SCORE: 0.7471322979234218, SYMBOLIC: 0.7461408954318896
AVG R2 SCORE: 0.9881067905015886, SYMBOLIC: 0.9734889529511539
AVG R2 SCORE: 0.8467784490544128, SYMBOLIC: NaN
AVG R2 SCORE: 0.45638264641992465, SYMBOLIC: NaN
AVG R2 SCORE: 0.7179699279400433, SYMBOLIC: NaN
AVG R2 SCORE: 0.9937482443561446, SYMBOLIC: 0.99057612350369
AVG R2 SCORE: 0.8632261484241563, SYMBOLIC: NaN
AVG R2 SCORE: -0.07664207335806453, SYMBOLIC: -0.077024664997655
AVG R2 SCORE: 0.858554064942593, SYMBOLIC: 0.8618068015564133
AVG R2 SCORE: 0.9422282397244054, SYMBOLIC: 0.9501535288735468
AVG R2 SCORE: 0.728524079535224, SYMBOLIC: NaN
AVG R2 SCORE: 0.9609702018287632, SYMBOLIC: 0.9556277367599182
AVG R2 SCORE: 0.6063358320686338, SYMBOLIC: 0.612781266006443
AVG R2 SCORE: -3.198777538297437, SYMBOLIC: -3.151357219027039
AVG R2 SCORE: 0.2695691041959853, SYMBOLIC: 0.2738650380700725
AVG R2 SCORE: 0.9179004454111908, SYMBOLIC: 0.9025750416126523
AVG R2 SCORE: 0.428012931472499, SYMBOLIC: NaN
AVG R2 SCORE: -0.13443868002427728, SYMBOLIC: -0.13167452191529055
AVG R2 SCORE: 0.9908431492333712, SYMBOLIC: 0.9833195783131294
AVG R2 SCORE: 0.9969962835749925, SYMBOLIC: 0.9937114788401139
AVG R2 SCORE: 0.9969292458455127, SYMBOLIC: 0.9938493909138031
AVG R2 SCORE: 0.9969444471681477, SYMBOLIC: 0.9940056772058966
AVG R2 SCORE: 0.970397638751636, SYMBOLIC: 0.9545612932588665
AVG R2 SCORE: 0.9969446441672336, SYMBOLIC: 0.9938424856498925
AVG R2 SCORE: 0.9958178216596424, SYMBOLIC: 0.993847570342909
AVG R2 SCORE: 0.9361516743776118, SYMBOLIC: 0.9364298392034502
AVG R2 SCORE: 0.9897572603049012, SYMBOLIC: 0.9896821022150327
AVG R2 SCORE: 0.989441803394459, SYMBOLIC: 0.9606345699491405
AVG R2 SCORE: 0.9905247532130347, SYMBOLIC: 0.9857466407424693
AVG R2 SCORE: 0.6580489543471368, SYMBOLIC: 0.6585327906759278
AVG R2 SCORE: 0.9675125877796228, SYMBOLIC: 0.9567067397695537
AVG R2 SCORE: 0.9857092659105442, SYMBOLIC: 0.9799465735594106
AVG R2 SCORE: 0.9944031697606035, SYMBOLIC: 0.9872458459576601
AVG R2 SCORE: -0.07059414412743942, SYMBOLIC: -0.06792537559540468
AVG R2 SCORE: 0.9129324148903432, SYMBOLIC: 0.9104924130476402
AVG R2 SCORE: 0.9798687825146319, SYMBOLIC: 0.9799164898896258
AVG R2 SCORE: 0.9836829695103254, SYMBOLIC: 0.9785605290716705
AVG R2 SCORE: 0.7221790735588058, SYMBOLIC: 0.7150829985272664
AVG R2 SCORE: 0.938573057172479, SYMBOLIC: 0.9482076625382322
AVG R2 SCORE: 0.9172497676840463, SYMBOLIC: NaN
AVG R2 SCORE: 0.43074036092906987, SYMBOLIC: NaN
AVG R2 SCORE: 0.8829763052372562, SYMBOLIC: 0.8938867277451367
AVG R2 SCORE: 0.9894641548344395, SYMBOLIC: 0.9782056225713316
AVG R2 SCORE: 0.9918940440038108, SYMBOLIC: 0.9879640008209877
AVG R2 SCORE: 0.6341308928789462, SYMBOLIC: NaN
AVG R2 SCORE: 0.9805073385405494, SYMBOLIC: 0.9265513452885503
AVG R2 SCORE: 0.8683363991435382, SYMBOLIC: 0.8777458993052418
AVG R2 SCORE: 0.9858491080137965, SYMBOLIC: 0.9731664495778036
AVG R2 SCORE: 0.4819363303383438, SYMBOLIC: NaN
AVG R2 SCORE: 0.9250485218543327, SYMBOLIC: 0.9224587925623673
AVG R2 SCORE: 0.9848038185985521, SYMBOLIC: 0.9806797114129604
AVG R2 SCORE: 0.8950225613727307, SYMBOLIC: 0.887578287830836
AVG R2 SCORE: -0.09526794939767533, SYMBOLIC: -0.09225564260042368
AVG R2 SCORE: 0.9945097173107237, SYMBOLIC: 0.9884909237693122
AVG R2 SCORE: -0.06433435756799938, SYMBOLIC: NaN
AVG R2 SCORE: 0.8135969839262844, SYMBOLIC: 0.8229678210367931
AVG R2 SCORE: 0.9937943884607043, SYMBOLIC: 0.9565896366631876
AVG R2 SCORE: 0.9897820475416886, SYMBOLIC: 0.9851812008417882
AVG R2 SCORE: 0.983148894604302, SYMBOLIC: 0.9798114382176671
AVG R2 SCORE: 0.42743782257653756, SYMBOLIC: NaN
AVG R2 SCORE: 0.9451699145671447, SYMBOLIC: 0.9492507287900889
AVG R2 SCORE: 0.9976817331998715, SYMBOLIC: NaN
AVG R2 SCORE: 0.9597996017628099, SYMBOLIC: 0.9097465642468947
AVG R2 SCORE: 0.995309023137406, SYMBOLIC: 0.9936564400573124
AVG R2 SCORE: 0.9968617373482944, SYMBOLIC: 0.9932386653608841
AVG R2 SCORE: 0.9965668874743311, SYMBOLIC: 0.995340329205452
AVG R2 SCORE: 0.996766505814934, SYMBOLIC: 0.988112874097598
AVG R2 SCORE: 0.9855796546668071, SYMBOLIC: -3.924728183692891
AVG R2 SCORE: 0.9944504035565318, SYMBOLIC: 0.9911975499988435
AVG R2 SCORE: 0.9808221558134251, SYMBOLIC: 0.9757403871690388
AVG R2 SCORE: 0.9938130788796593, SYMBOLIC: 0.990391907017669
AVG R2 SCORE: 0.9628476957184915, SYMBOLIC: 0.9560749136578119
AVG R2 SCORE: 0.7377866832371197, SYMBOLIC: NaN
AVG R2 SCORE: 0.9556669606367434, SYMBOLIC: NaN
AVG R2 SCORE: 0.9493247787907749, SYMBOLIC: 0.9349299261331478
AVG R2 SCORE: 0.9128040700239172, SYMBOLIC: 0.9145838838438494
AVG R2 SCORE: 0.9868876149349473, SYMBOLIC: 0.9807056169105672
AVG R2 SCORE: 0.990952907587687, SYMBOLIC: 0.9845232013815822
AVG R2 SCORE: -0.8255061845805137, SYMBOLIC: -0.7739433770040831
AVG R2 SCORE: 0.9973760488445068, SYMBOLIC: 0.9952606848510339
AVG R2 SCORE: 0.9819643242496524, SYMBOLIC: 0.9797374332351824
AVG R2 SCORE: 0.9921744601638014, SYMBOLIC: 0.9864084184203143
AVG R2 SCORE: 0.6795264842743304, SYMBOLIC: NaN
AVG R2 SCORE: 0.9856211679391977, SYMBOLIC: 0.9823739657453359
AVG R2 SCORE: 0.9736525524749599, SYMBOLIC: 0.9687453361078103
AVG R2 SCORE: 0.9647199338625636, SYMBOLIC: 0.962834369402193
AVG R2 SCORE: 0.3691874968428158, SYMBOLIC: 0.3693248658491625
AVG R2 SCORE: 0.9284596827981626, SYMBOLIC: 0.9326743748185897
AVG R2 SCORE: 0.9775146057264721, SYMBOLIC: NaN
AVG R2 SCORE: 0.942889654808858, SYMBOLIC: 0.9417986254763133
AVG R2 SCORE: 0.9817062571318262, SYMBOLIC: 0.9784673952707487
AVG R2 SCORE: 0.9948722437469064, SYMBOLIC: 0.9878581022983297
AVG R2 SCORE: 0.9115863312333283, SYMBOLIC: 0.9189869088111862
AVG R2 SCORE: 0.9372983695180388, SYMBOLIC: 0.9123774901344351
AVG R2 SCORE: 0.9948954504645212, SYMBOLIC: 0.9873006064748364
AVG R2 SCORE: 0.9925551141606849, SYMBOLIC: 0.9164071730760501
AVG R2 SCORE: 0.7155000310940871, SYMBOLIC: 0.7148530387417888
AVG R2 SCORE: 0.9449210499814906, SYMBOLIC: 0.9464826522397406
AVG R2 SCORE: 0.8545421901146188, SYMBOLIC: 0.8649080472988576
AVG R2 SCORE: 0.991394926136963, SYMBOLIC: 0.9346276953974204
AVG R2 SCORE: 0.9390063494041841, SYMBOLIC: NaN
AVG R2 SCORE: 0.9965999444959868, SYMBOLIC: 0.9912803586191969
AVG R2 SCORE: 0.9224711564859478, SYMBOLIC: 0.9230909963352018
AVG R2 SCORE: 0.9504088602919949, SYMBOLIC: 0.9601368009839265
AVG R2 SCORE: 0.9822427801374491, SYMBOLIC: 0.9784141770577698
AVG R2 SCORE: 0.972922922603998, SYMBOLIC: 0.9788487171811363
AVG R2 SCORE: 0.9839772822337914, SYMBOLIC: 0.9785406767279725
AVG R2 SCORE: 0.9887766375483655, SYMBOLIC: 0.9812484072296348
AVG R2 SCORE: 0.9203021769099876, SYMBOLIC: 0.914780947992398
AVG R2 SCORE: 0.9923562938460208, SYMBOLIC: 0.9824958677287912
AVG R2 SCORE: 0.5943126313426382, SYMBOLIC: NaN
AVG R2 SCORE: 0.9001239152127345, SYMBOLIC: 0.9210572389599772
AVG R2 SCORE: 0.9830823265457651, SYMBOLIC: 0.9791935227640639
AVG R2 SCORE: 0.9962664807911795, SYMBOLIC: 0.9767130697519968
AVG R2 SCORE: 0.6756560987362421, SYMBOLIC: 0.6771782617133375
AVG R2 SCORE: 0.9682782991695791, SYMBOLIC: 0.9709963695185072
AVG R2 SCORE: 0.974162208733616, SYMBOLIC: 0.9721275299032737
AVG R2 SCORE: 0.9112630064746374, SYMBOLIC: 0.9112615392708929
AVG R2 SCORE: -0.038378723067309745, SYMBOLIC: -0.06089637348582533
AVG R2 SCORE: 0.9751687175735123, SYMBOLIC: 0.9763331648514536
AVG R2 SCORE: 0.9543556173203076, SYMBOLIC: 0.9408609172811592
AVG R2 SCORE: 0.9938481262909367, SYMBOLIC: 0.9590792841690932
AVG R2 SCORE: 0.6673672224235433, SYMBOLIC: 0.6711425960699748
AVG R2 SCORE: 0.9934602766324285, SYMBOLIC: 0.9876217346384322
AVG R2 SCORE: 0.8946541339797458, SYMBOLIC: 0.8954789459178019
AVG R2 SCORE: 0.9630537629137125, SYMBOLIC: 0.9634213110137508
AVG R2 SCORE: 0.9549821794676482, SYMBOLIC: 0.8593340816819279
AVG R2 SCORE: 0.9682671707814638, SYMBOLIC: 0.9777589736554838
AVG R2 SCORE: 0.9213621647020471, SYMBOLIC: 0.9190352945611814
AVG R2 SCORE: 0.9114773158617473, SYMBOLIC: 0.9049034029339464
AVG R2 SCORE: 0.9963645512316462, SYMBOLIC: 0.9918293533040777
AVG R2 SCORE: 0.9883571092460762, SYMBOLIC: 0.9846879075961579
AVG R2 SCORE: 0.9680924802977394, SYMBOLIC: 0.963339583216608
AVG R2 SCORE: 0.9843433582451148, SYMBOLIC: 0.9781694405449711
AVG R2 SCORE: 0.8483170678615324, SYMBOLIC: NaN
AVG R2 SCORE: 0.9978123193705994, SYMBOLIC: 0.9758808068855644
AVG R2 SCORE: 0.7014976524162675, SYMBOLIC: NaN
AVG R2 SCORE: 0.9962592439008511, SYMBOLIC: 0.9727968936084722
AVG R2 SCORE: 0.6123986008049171, SYMBOLIC: 0.6169470362261603
AVG R2 SCORE: 0.9616534185436112, SYMBOLIC: 0.910441817343126
AVG R2 SCORE: 0.9833833514849727, SYMBOLIC: 0.9826158982864766
AVG R2 SCORE: 0.7932319481366175, SYMBOLIC: 0.7963250938486302
AVG R2 SCORE: 0.9159759810237247, SYMBOLIC: 0.915825876674554
AVG R2 SCORE: 0.9967356423370601, SYMBOLIC: 0.9954999576200063
AVG R2 SCORE: 0.9960313068703293, SYMBOLIC: 0.9942895457461407
AVG R2 SCORE: 0.9957543819723351, SYMBOLIC: NaN
AVG R2 SCORE: 0.9946474586543003, SYMBOLIC: 0.991937453044516
AVG R2 SCORE: 0.996868405139864, SYMBOLIC: 0.9955329642794549
AVG R2 SCORE: 0.9967819934487347, SYMBOLIC: 0.9954462587758196
AVG R2 SCORE: 0.9968077096220893, SYMBOLIC: 0.9927128110209289
AVG R2 SCORE: 0.996812749519592, SYMBOLIC: 0.9955462019421668
AVG R2 SCORE: 0.9972044878005317, SYMBOLIC: 0.9952075133172836
AVG R2 SCORE: 0.9926312445008734, SYMBOLIC: 0.9912324656688634
AVG R2 SCORE: 0.9962597363248056, SYMBOLIC: 0.9911364096391505
AVG R2 SCORE: 0.9937031404601944, SYMBOLIC: 0.9877406374300572
AVG R2 SCORE: 0.9798736113588026, SYMBOLIC: 0.972719320926563
AVG R2 SCORE: 0.9949900760003287, SYMBOLIC: 0.9919642017541741
AVG R2 SCORE: 0.9736209822298924, SYMBOLIC: 0.9689063264537344
AVG R2 SCORE: 0.9856796065413453, SYMBOLIC: 0.9805612131448469
AVG R2 SCORE: 0.9976234991573423, SYMBOLIC: 0.9909620194822266
AVG R2 SCORE: 0.9867873279007181, SYMBOLIC: 0.9801019540735327
AVG R2 SCORE: 0.9931986651609284, SYMBOLIC: 0.9875532840504218
AVG R2 SCORE: 0.9965633750302241, SYMBOLIC: 0.9851142337577125
AVG R2 SCORE: 0.9752105717573798, SYMBOLIC: 0.9726087958841899
AVG R2 SCORE: 0.8944946212629824, SYMBOLIC: 0.8949273776258795
AVG R2 SCORE: 0.9888668349683091, SYMBOLIC: 0.9788686339091844
AVG R2 SCORE: 0.9921551836942293, SYMBOLIC: NaN
AVG R2 SCORE: 0.9965813587191037, SYMBOLIC: 0.9925421178057523
AVG R2 SCORE: 0.96607590822099, SYMBOLIC: -147.52544035766923
AVG R2 SCORE: 0.9529801254789859, SYMBOLIC: 0.9530538903745642
AVG R2 SCORE: 0.9970432969925414, SYMBOLIC: 0.9925238255032275
AVG R2 SCORE: 0.8920071513590161, SYMBOLIC: 0.9019643286440883
AVG R2 SCORE: 0.9785909143036698, SYMBOLIC: 0.9735841020488991
AVG R2 SCORE: 0.9947257056360246, SYMBOLIC: 0.9896779278568422
AVG R2 SCORE: 0.9824492255606951, SYMBOLIC: 0.9100481333905178
AVG R2 SCORE: 0.9829842080462344, SYMBOLIC: 0.9785706844631246
AVG R2 SCORE: 0.9869186339935554, SYMBOLIC: 0.9804527435865062
AVG R2 SCORE: 0.9974699149567378, SYMBOLIC: 0.9913605268089426
AVG R2 SCORE: 0.9865323632686334, SYMBOLIC: 0.9849037597358827
AVG R2 SCORE: 0.9657186138189107, SYMBOLIC: NaN
AVG R2 SCORE: 0.9901852401115195, SYMBOLIC: 0.9851452760985259
AVG R2 SCORE: 0.76698550276826, SYMBOLIC: 0.7652392988273344
AVG R2 SCORE: 0.9938373680008659, SYMBOLIC: 0.9908738339791107
AVG R2 SCORE: 0.9808945851563609, SYMBOLIC: 0.9804863444902632
AVG R2 SCORE: 0.9865123167563201, SYMBOLIC: 0.9770073364112204
AVG R2 SCORE: 0.9983332817139146, SYMBOLIC: 0.9281511126199873
AVG R2 SCORE: 0.9166524519250601, SYMBOLIC: 0.9178602859509104
AVG R2 SCORE: 0.9762338465925491, SYMBOLIC: 0.9765271835187013
AVG R2 SCORE: 0.9968761148311336, SYMBOLIC: 0.9839159705365295
AVG R2 SCORE: 0.9693127249674668, SYMBOLIC: 0.944850045014145
AVG R2 SCORE: 0.8205141379358039, SYMBOLIC: 0.8287768231564675
AVG R2 SCORE: 0.8974328471217765, SYMBOLIC: 0.8834269748537127
AVG R2 SCORE: 0.6738962647322931, SYMBOLIC: NaN
AVG R2 SCORE: 0.9846653733364549, SYMBOLIC: 0.9768486896080479
AVG R2 SCORE: 0.9283452095557654, SYMBOLIC: 0.9259358000994398
AVG R2 SCORE: 0.9841811501319184, SYMBOLIC: 0.9748629751090395
AVG R2 SCORE: 0.9755823292618433, SYMBOLIC: 0.9624268352575959
AVG R2 SCORE: 0.9854160000119865, SYMBOLIC: 0.9799371193978095
