AVG R2 SCORE: 0.9991237370813645, SYMBOLIC: 0.9941160376091793
AVG R2 SCORE: 0.9989024861471497, SYMBOLIC: 0.9996095170395807
AVG R2 SCORE: 0.9934877963597764, SYMBOLIC: 0.9954997058076
AVG R2 SCORE: 0.9304373274926588, SYMBOLIC: 0.9905401275580807
AVG R2 SCORE: 0.9994015609186312, SYMBOLIC: 0.9993146614867456
AVG R2 SCORE: -0.007883871452560864, SYMBOLIC: -0.010780650525542779
AVG R2 SCORE: 0.052283009585789464, SYMBOLIC: 0.02499393804487271
AVG R2 SCORE: 0.7236054115374251, SYMBOLIC: -0.5175140560196503
AVG R2 SCORE: 0.9958477309159062, SYMBOLIC: 0.9959388309146278
AVG R2 SCORE: 0.9998020921731121, SYMBOLIC: 0.9811657660482417
AVG R2 SCORE: 0.22186015255704794, SYMBOLIC: 0.1975096030044271
AVG R2 SCORE: 0.923354521203248, SYMBOLIC: 0.9223040330888486
AVG R2 SCORE: 0.9861798941832653, SYMBOLIC: 0.9866484403706467
AVG R2 SCORE: 0.9996428888717849, SYMBOLIC: 0.9998412459779772
AVG R2 SCORE: 0.9094721129187913, SYMBOLIC: 0.9093651364079798
AVG R2 SCORE: -0.45539795780385206, SYMBOLIC: NaN
AVG R2 SCORE: -0.005745039427755838, SYMBOLIC: -0.011798791756210791
AVG R2 SCORE: 0.3339102398283037, SYMBOLIC: 0.9498485771201153
AVG R2 SCORE: 0.9940149086305012, SYMBOLIC: 0.9977048941383919
AVG R2 SCORE: 0.9990910638126762, SYMBOLIC: 0.9993244397211181
AVG R2 SCORE: 0.9924261333741509, SYMBOLIC: 0.7313073620337354
AVG R2 SCORE: 0.9999590925745941, SYMBOLIC: 0.9995617811820939
AVG R2 SCORE: 0.999701313851082, SYMBOLIC: 0.9994318496505848
AVG R2 SCORE: 0.9887816533729613, SYMBOLIC: 0.9877160394091125
AVG R2 SCORE: 0.9957190051133344, SYMBOLIC: 0.9956976536792611
AVG R2 SCORE: 0.9977236705984033, SYMBOLIC: 0.9970981699172061
AVG R2 SCORE: 0.9992104435339112, SYMBOLIC: NaN
AVG R2 SCORE: 0.9990263543389744, SYMBOLIC: 0.9670892324635697
AVG R2 SCORE: 0.9628722566551691, SYMBOLIC: 0.974974094941371
AVG R2 SCORE: 0.9997318611327214, SYMBOLIC: 0.9838440751254153
AVG R2 SCORE: 0.9921708356524084, SYMBOLIC: 0.8038251740360327
AVG R2 SCORE: 0.6281918166897739, SYMBOLIC: 0.37403978371414537
AVG R2 SCORE: 0.9633444416187111, SYMBOLIC: 0.9606188682172244
AVG R2 SCORE: 0.9998691124202641, SYMBOLIC: -0.8224253389955274
AVG R2 SCORE: 0.01567813297300924, SYMBOLIC: -0.012803130025467402
AVG R2 SCORE: 0.992788157183346, SYMBOLIC: 0.9922323426907809
AVG R2 SCORE: 0.9998118440514586, SYMBOLIC: 0.995470235305177
AVG R2 SCORE: 0.9998816994140171, SYMBOLIC: 0.7800810112533078
AVG R2 SCORE: 0.999573560878003, SYMBOLIC: 0.9761057025230716
AVG R2 SCORE: 0.9890575253585163, SYMBOLIC: -11.820622495216979
AVG R2 SCORE: 0.9935339176095053, SYMBOLIC: 0.9919753534787441
AVG R2 SCORE: 0.9997006941844025, SYMBOLIC: 0.9997377594304006
AVG R2 SCORE: 0.9997684014198025, SYMBOLIC: 0.9901613901145763
AVG R2 SCORE: 0.3131849932237055, SYMBOLIC: 0.31643645273072674
AVG R2 SCORE: 0.9903086847288723, SYMBOLIC: 0.9951895163117471
AVG R2 SCORE: 0.9997664817474126, SYMBOLIC: 0.9995527644500753
AVG R2 SCORE: 0.9885726264131514, SYMBOLIC: 0.9898597735537389
AVG R2 SCORE: 0.9216835414156603, SYMBOLIC: 0.9259168635876958
AVG R2 SCORE: 0.8421962389541179, SYMBOLIC: 0.8203726457473475
AVG R2 SCORE: 0.7913670886260875, SYMBOLIC: 0.7903554238291115
AVG R2 SCORE: 0.987413531335286, SYMBOLIC: 0.9801199243998674
AVG R2 SCORE: 0.09064167009661661, SYMBOLIC: 0.09464844662600536
AVG R2 SCORE: 0.9974403623579728, SYMBOLIC: -2.911237571897713
AVG R2 SCORE: 0.9927428487242903, SYMBOLIC: 0.9951795841225174
AVG R2 SCORE: 0.9938340747455408, SYMBOLIC: 0.9900412917236016
AVG R2 SCORE: 0.8997740007171128, SYMBOLIC: 0.9128612108967766
AVG R2 SCORE: 0.928281602722008, SYMBOLIC: 0.9280779076955357
AVG R2 SCORE: 0.9977652612442219, SYMBOLIC: 0.9963032122385687
AVG R2 SCORE: 0.9976358640521032, SYMBOLIC: -1.2014345455294317
AVG R2 SCORE: 0.9936184603945901, SYMBOLIC: 0.9946972707817626
AVG R2 SCORE: 0.9951407240967702, SYMBOLIC: 0.9952225807867991
AVG R2 SCORE: -0.014256361181335109, SYMBOLIC: NaN
AVG R2 SCORE: 0.9998789709568137, SYMBOLIC: 0.9998845896041182
AVG R2 SCORE: -0.021761015213715762, SYMBOLIC: -0.029283404563679616
AVG R2 SCORE: 0.9873189664991616, SYMBOLIC: 0.9923749976245042
AVG R2 SCORE: 0.9998647868316479, SYMBOLIC: 0.9999033956530112
AVG R2 SCORE: 0.9998502983863835, SYMBOLIC: 0.9970761752148595
AVG R2 SCORE: 0.9486260460441287, SYMBOLIC: 0.15043660215490517
AVG R2 SCORE: 0.997905499702595, SYMBOLIC: NaN
AVG R2 SCORE: 0.9998528788324512, SYMBOLIC: 0.9993087748417635
AVG R2 SCORE: 0.9998810835849908, SYMBOLIC: 0.9999286982750006
AVG R2 SCORE: -26.087994195899608, SYMBOLIC: NaN
AVG R2 SCORE: 0.9995665226431768, SYMBOLIC: NaN
AVG R2 SCORE: 0.9998342488958868, SYMBOLIC: 0.9999223740793659
AVG R2 SCORE: 0.998464293504301, SYMBOLIC: 0.9984402573007342
AVG R2 SCORE: 0.9987611933573796, SYMBOLIC: 0.9985270404870348
AVG R2 SCORE: 0.9998213393822452, SYMBOLIC: 0.7278349003147935
AVG R2 SCORE: 0.9997403397731609, SYMBOLIC: 0.9996551781993238
AVG R2 SCORE: 0.9997852302251345, SYMBOLIC: 0.9759049264344166
AVG R2 SCORE: 0.9867285290250475, SYMBOLIC: -2.557218081765675
AVG R2 SCORE: 0.9998408959977892, SYMBOLIC: 0.9951789004060767
AVG R2 SCORE: 0.9918186722676492, SYMBOLIC: 0.9589935183365461
AVG R2 SCORE: 0.99658878786877, SYMBOLIC: 0.996554691174249
AVG R2 SCORE: 0.9900524944291988, SYMBOLIC: 0.9886402834382844
AVG R2 SCORE: -3.3671978760592385, SYMBOLIC: -3.3646476158020544
AVG R2 SCORE: 0.6712485115070883, SYMBOLIC: -46.8463779745678
AVG R2 SCORE: 0.9770381620105493, SYMBOLIC: 0.9857018930572753
AVG R2 SCORE: 0.9923706069421423, SYMBOLIC: 0.9983602716492039
AVG R2 SCORE: 0.9947637081461027, SYMBOLIC: 0.9991540116111384
AVG R2 SCORE: 0.9848204995684906, SYMBOLIC: NaN
AVG R2 SCORE: -0.003431426634926682, SYMBOLIC: -0.0010626775689355217
AVG R2 SCORE: 0.9945997564390162, SYMBOLIC: 0.9830047093404324
AVG R2 SCORE: 0.9306657826237213, SYMBOLIC: 0.994709743037336
AVG R2 SCORE: 0.9973542700643939, SYMBOLIC: 0.9954814288845808
AVG R2 SCORE: 0.9998093265983707, SYMBOLIC: 0.9982571614236606
AVG R2 SCORE: 0.9779725507862015, SYMBOLIC: NaN
AVG R2 SCORE: 0.01922236650440301, SYMBOLIC: 0.0168302503312322
AVG R2 SCORE: 0.9920090890397607, SYMBOLIC: 0.9908473133474062
AVG R2 SCORE: 0.9996432766246032, SYMBOLIC: 0.999411838535242
AVG R2 SCORE: 0.997129987081284, SYMBOLIC: 0.998428593383532
AVG R2 SCORE: 0.9997739071991754, SYMBOLIC: -3.073483455398354
AVG R2 SCORE: -0.016217146454732934, SYMBOLIC: -0.00805414087181866
AVG R2 SCORE: 0.09588024001203388, SYMBOLIC: -0.029886404125179622
AVG R2 SCORE: 0.9836680515796201, SYMBOLIC: 0.2932289236901482
AVG R2 SCORE: 0.9985416003788112, SYMBOLIC: -83.60162377969954
AVG R2 SCORE: 0.9107559800386474, SYMBOLIC: 0.9610895987207657
AVG R2 SCORE: 0.9918481421340826, SYMBOLIC: 0.9776879456306844
AVG R2 SCORE: 0.9997874250676037, SYMBOLIC: 0.9712127759141822
AVG R2 SCORE: -0.0927339276218262, SYMBOLIC: -11.561473491516692
AVG R2 SCORE: 0.9560192282671452, SYMBOLIC: 0.9666110270287273
AVG R2 SCORE: 0.9937374334527769, SYMBOLIC: 0.6009373693390789
AVG R2 SCORE: -8.808880208399026, SYMBOLIC: -13.048322659770294
AVG R2 SCORE: 0.9841561041115341, SYMBOLIC: NaN
AVG R2 SCORE: 0.9993564335013695, SYMBOLIC: 0.9986552404555309
AVG R2 SCORE: 0.9983995861714507, SYMBOLIC: 0.9476368406894096
AVG R2 SCORE: 0.9994657053662297, SYMBOLIC: 0.9151469729392698
AVG R2 SCORE: 0.999241183486839, SYMBOLIC: 0.9904763999022715
AVG R2 SCORE: 0.7993843597743092, SYMBOLIC: 0.7466508364500823
AVG R2 SCORE: 0.9902112210370767, SYMBOLIC: 0.990748218737921
AVG R2 SCORE: -0.061216605053517226, SYMBOLIC: -0.04620621274020542
AVG R2 SCORE: 0.9953122283380215, SYMBOLIC: 0.9902735414452488
AVG R2 SCORE: 0.4960179792919158, SYMBOLIC: -36.64880630505565
AVG R2 SCORE: 0.9997918219268803, SYMBOLIC: 0.989055620115277
AVG R2 SCORE: 0.9992778198968681, SYMBOLIC: 0.9990992952705327
AVG R2 SCORE: 0.998291346139749, SYMBOLIC: 0.9808907780368108
AVG R2 SCORE: 0.9950561116478298, SYMBOLIC: 0.6610128619455844
AVG R2 SCORE: 0.9951099056483472, SYMBOLIC: 0.9956373567406637
AVG R2 SCORE: -0.1284661657895243, SYMBOLIC: -0.1642602543272147
AVG R2 SCORE: 0.9430371234080813, SYMBOLIC: 0.9832749539614796
AVG R2 SCORE: 0.9978002361319084, SYMBOLIC: 0.9967385574556458
AVG R2 SCORE: 0.9954284102172319, SYMBOLIC: 0.995089592858499
AVG R2 SCORE: 0.9996084193595101, SYMBOLIC: 0.9997781515278035
AVG R2 SCORE: 0.9987656106364983, SYMBOLIC: 0.9306182107069008
AVG R2 SCORE: -0.13119182056122503, SYMBOLIC: -0.25318570115291306
AVG R2 SCORE: -0.000677209612850227, SYMBOLIC: 0.0029030521838733225
AVG R2 SCORE: 0.9446299229128543, SYMBOLIC: 0.9470813583841947
AVG R2 SCORE: 0.9987045760396147, SYMBOLIC: 0.9982411485128836
AVG R2 SCORE: 0.8271038723142177, SYMBOLIC: 0.9835770237427174
AVG R2 SCORE: 0.9749597140436874, SYMBOLIC: 0.9741757174269258
AVG R2 SCORE: 0.4039851974624742, SYMBOLIC: 0.36432529934465563
AVG R2 SCORE: 0.9984088012395318, SYMBOLIC: 0.9996189583514907
AVG R2 SCORE: 0.9999392305863377, SYMBOLIC: 0.999868128550892
AVG R2 SCORE: 0.9814372571507369, SYMBOLIC: 0.990833940515643
AVG R2 SCORE: 0.9975810287354888, SYMBOLIC: NaN
AVG R2 SCORE: 0.9986814180816167, SYMBOLIC: NaN
AVG R2 SCORE: 0.9998869977627113, SYMBOLIC: 0.9889487685052148
AVG R2 SCORE: 0.999818351340732, SYMBOLIC: 0.9997406003779362
AVG R2 SCORE: 0.9998280472341892, SYMBOLIC: 0.9994005460318222
AVG R2 SCORE: 0.9949048893673386, SYMBOLIC: 0.9961661522802142
AVG R2 SCORE: 0.999879973958587, SYMBOLIC: 0.998495618654011
AVG R2 SCORE: 0.8954853267477298, SYMBOLIC: 0.9358342777337485
AVG R2 SCORE: 0.9997666156849987, SYMBOLIC: 0.9998425061769043
AVG R2 SCORE: 0.41151496030971235, SYMBOLIC: 0.3182425400100497
AVG R2 SCORE: -0.09483885285792848, SYMBOLIC: -0.009054253945435242
AVG R2 SCORE: 0.995815964512337, SYMBOLIC: 0.9930965472582186
AVG R2 SCORE: 0.9781849234786625, SYMBOLIC: 0.9874461920069312
AVG R2 SCORE: 0.9987934215976562, SYMBOLIC: -0.25739331421058775
AVG R2 SCORE: 0.9939314529157293, SYMBOLIC: 0.9946027179086356
AVG R2 SCORE: 0.9944744184022543, SYMBOLIC: -17.97047833528026
AVG R2 SCORE: 0.689783434883126, SYMBOLIC: -2.587676963608359
AVG R2 SCORE: 0.7351706412782519, SYMBOLIC: -124.05808520820432
AVG R2 SCORE: 0.9808984721708489, SYMBOLIC: 0.9877182741194557
AVG R2 SCORE: 0.08855222130198859, SYMBOLIC: NaN
AVG R2 SCORE: 0.999868301989386, SYMBOLIC: 0.99853762115654
AVG R2 SCORE: 0.9986038826842916, SYMBOLIC: 0.9710656515622427
AVG R2 SCORE: 0.9994964784461079, SYMBOLIC: 0.949629918142231
AVG R2 SCORE: 0.9983979576569054, SYMBOLIC: 0.9988189443300923
AVG R2 SCORE: 0.9998599258362355, SYMBOLIC: 0.999823592246839
AVG R2 SCORE: 0.9982031315000169, SYMBOLIC: NaN
AVG R2 SCORE: 0.9987123852454632, SYMBOLIC: 0.9988264068543379
AVG R2 SCORE: 0.969607979277093, SYMBOLIC: 0.9366430393002437
AVG R2 SCORE: 0.25175627855569616, SYMBOLIC: 0.262222793722652
AVG R2 SCORE: 0.9818505647695752, SYMBOLIC: 0.9897109486993058
AVG R2 SCORE: 0.9997895674330418, SYMBOLIC: 0.9233196588447529
AVG R2 SCORE: 0.9993082328975789, SYMBOLIC: 0.9994169172859876
AVG R2 SCORE: 0.9998516876153131, SYMBOLIC: -0.8547739315093315
AVG R2 SCORE: 0.9997101942992739, SYMBOLIC: 0.9980206557934456
AVG R2 SCORE: 0.9908363934201931, SYMBOLIC: 0.7382346482040636
AVG R2 SCORE: 0.43219725614746385, SYMBOLIC: 0.4216807190217491
AVG R2 SCORE: 0.999978900913061, SYMBOLIC: 0.99691886456182
AVG R2 SCORE: 0.9911780411745629, SYMBOLIC: 0.9919432412267933
AVG R2 SCORE: 0.9573122784749503, SYMBOLIC: 0.9854469721233279
AVG R2 SCORE: 0.999758694058924, SYMBOLIC: 0.9849231778021695
AVG R2 SCORE: 0.9997021980195996, SYMBOLIC: 0.8365869625969886
AVG R2 SCORE: 0.974492380717995, SYMBOLIC: 0.9719140428480117
AVG R2 SCORE: 0.9974846167207841, SYMBOLIC: 0.9980806705702051
AVG R2 SCORE: 0.9934767640151717, SYMBOLIC: 0.9798623595510627
AVG R2 SCORE: 0.9723740659605121, SYMBOLIC: -1.2581494185977302
AVG R2 SCORE: 0.9994060798214542, SYMBOLIC: 0.9795278271338387
AVG R2 SCORE: 0.21091511882629466, SYMBOLIC: 0.14949078362542267
AVG R2 SCORE: 0.9952743939186068, SYMBOLIC: 0.9961472345403236
AVG R2 SCORE: 0.99968329749719, SYMBOLIC: 0.9964865158212264
AVG R2 SCORE: 0.9980228275501991, SYMBOLIC: -0.08173315212677279
AVG R2 SCORE: 0.9997779752753762, SYMBOLIC: 0.9993156019245962
AVG R2 SCORE: -7409.8889708537245, SYMBOLIC: NaN
AVG R2 SCORE: 0.9999348992224136, SYMBOLIC: 0.9782547923216175
AVG R2 SCORE: 0.9151229387538059, SYMBOLIC: -44691030.57481854
AVG R2 SCORE: 0.9373929119276008, SYMBOLIC: 0.9387090989703938
AVG R2 SCORE: 0.9160651571760459, SYMBOLIC: 0.9164049307114837
AVG R2 SCORE: 0.9996982859351716, SYMBOLIC: 0.9992832770191373
