OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2
A-2,36.6944,0.1419,2779.2304,52.7184,0.204,0.7401
B-1,40.4222,0.1776,3200.6328,56.5741,0.2486,0.8313
B-2,85.8326,0.3979,11188.1312,105.774,0.4903,0.4713
B-4,44.1924,0.1936,3691.9228,60.7612,0.2666,0.7461
B-5,74.9699,0.343,8476.3181,92.0669,0.421,0.5125
B-7,78.6539,0.3454,9576.0875,97.8575,0.4297,0.3525
B-8,52.9242,0.2499,4326.8845,65.7791,0.3106,0.746
C-1,57.1407,0.3174,4862.1086,69.7288,0.3876,0.9454
C-2,103.9283,0.5748,16121.7941,126.9716,0.7014,0.8726
C-3,209.8262,1.1242,61172.4272,247.3306,1.3254,0.5245
C-4,30.4698,0.1629,1515.5093,38.9295,0.2074,0.9863
C-5,62.65,0.3159,6007.2323,77.5063,0.39,0.9321
C-6,109.05,0.568,16816.1874,129.6772,0.6741,0.804
C-7,112.5169,0.6042,19057.6499,138.0494,0.7405,0.8248
C-8,184.839,0.9816,50138.6405,223.9166,1.1906,0.6344
C-9,61.8669,0.3333,5341.138,73.0831,0.3934,0.9562
C-10,71.6689,0.3676,7467.6895,86.4158,0.4425,0.922
C-11,145.881,0.7905,36786.4548,191.798,1.0357,0.5578
C-12,152.5658,0.8603,42793.5285,206.866,1.1618,0.5741
C-13,199.1232,1.1061,63874.7522,252.7345,1.4005,0.413
C-14,82.3666,0.4611,10324.2118,101.6081,0.5708,0.8995
C-15,86.6086,0.4626,11745.56,108.3769,0.5792,0.8409
