OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,CONVERSION_TIME
A-2,58.9876,0.2282,5222.9625,72.2701,0.2796,0.5116,3.1260621547698975
B-1,60.5998,0.2665,5665.4254,75.269,0.331,0.7014,3.1260621547698975
B-2,101.4769,0.4705,14499.501,120.4139,0.5582,0.3148,3.1260621547698975
B-4,56.2353,0.2463,4699.5784,68.5535,0.3001,0.6768,3.1260621547698975
B-5,74.7871,0.3421,8484.6602,92.1122,0.4212,0.512,3.1260621547698975
B-7,78.6835,0.3456,9554.2097,97.7456,0.4292,0.3539,3.1260621547698975
B-8,53.4041,0.2522,4334.0251,65.8333,0.3109,0.7456,3.1260621547698975
C-1,56.9632,0.3163,4685.6342,68.4517,0.3801,0.9474,3.1260621547698975
C-2,104.6788,0.5787,16383.0539,127.9963,0.7064,0.8705,3.1260621547698975
C-3,210.0939,1.126,60588.4419,246.1472,1.3198,0.529,3.1260621547698975
C-4,29.1785,0.1562,1320.4965,36.3386,0.1942,0.988,3.1260621547698975
C-5,61.5211,0.3101,5841.1605,76.4275,0.3843,0.934,3.1260621547698975
C-6,107.7123,0.5609,16739.4482,129.381,0.6723,0.8049,3.1260621547698975
C-7,113.2778,0.6083,19034.6536,137.9661,0.7398,0.825,3.1260621547698975
C-8,185.7067,0.9861,50190.619,224.0326,1.1909,0.6341,3.1260621547698975
C-9,61.8212,0.3331,5370.084,73.2809,0.3946,0.9559,3.1260621547698975
C-10,71.7444,0.368,7487.2958,86.5292,0.4431,0.9218,3.1260621547698975
C-11,181.2686,0.9822,50616.8355,224.9819,1.2188,0.3915,3.1260621547698975
C-12,201.8652,1.1382,61400.7134,247.7917,1.397,0.3888,3.1260621547698975
C-13,231.4912,1.2854,80683.9678,284.0492,1.5765,0.2586,3.1260621547698975
C-14,82.503,0.4619,10304.8195,101.5127,0.5703,0.8997,3.1260621547698975
C-15,86.3153,0.461,11648.4033,107.9278,0.5767,0.8422,3.1260621547698975
