OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2
A-2,3.36393,0.01302,19.43043,4.408,0.01707,0.99818
B-1,5.31616,0.02337,40.16743,6.33778,0.02787,0.99788
B-2,4.1003,0.019,27.73891,5.26677,0.02442,0.99869
B-4,4.36636,0.01913,31.86844,5.64521,0.02475,0.99781
B-5,4.27665,0.01956,28.82102,5.36852,0.02455,0.99834
B-7,4.17777,0.01836,30.37914,5.51173,0.02423,0.99795
B-8,4.79523,0.02265,37.14061,6.09431,0.02883,0.99782
C-1,9.74709,0.05408,141.04935,11.87642,0.06589,0.99842
C-2,9.98785,0.05523,166.5282,12.90458,0.07139,0.99868
C-3,11.18741,0.05994,209.97264,14.49043,0.07757,0.99837
C-4,16.51094,0.08847,378.00204,19.44227,0.10407,0.99658
C-5,11.90383,0.06004,211.9767,14.55942,0.07328,0.99761
C-6,8.60333,0.04486,129.14008,11.36398,0.05918,0.99849
C-7,9.02685,0.04847,148.96034,12.20493,0.06538,0.99863
C-8,7.25007,0.0383,117.5693,10.84294,0.05687,0.99914
C-9,7.88924,0.04246,105.63323,10.2778,0.05518,0.99913
C-10,6.7179,0.03455,77.59513,8.80881,0.04534,0.99919
C-11,8.41609,0.04561,130.32135,11.41584,0.06185,0.99843
C-12,8.87101,0.04996,161.03188,12.68983,0.07138,0.9984
C-13,9.05785,0.05039,167.01569,12.92346,0.07221,0.99847
C-14,8.03331,0.04492,129.50677,11.3801,0.06386,0.99874
C-15,8.42689,0.045,123.5656,11.11601,0.05938,0.99833
