OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2
C-1,44.5945,0.2481,3058.0856,55.3,0.3085,0.9657
C-2,26.3301,0.1454,1071.1657,32.7287,0.1805,0.9915
C-3,26.4335,0.1415,1117.5631,33.43,0.1789,0.9913
C-4,26.6363,0.1424,1077.5918,32.8267,0.1751,0.9902
C-5,57.2903,0.2891,5114.1875,71.5135,0.3604,0.9422
C-6,62.7726,0.327,5964.2898,77.2288,0.4016,0.9305
C-7,25.0261,0.1349,1038.0837,32.2193,0.1742,0.9905
C-8,19.933,0.1053,623.0217,24.9604,0.1315,0.9955
C-9,20.677,0.1114,657.7347,25.6463,0.138,0.9946
C-10,57.0234,0.2929,4694.477,68.5163,0.352,0.951
C-11,62.3348,0.3379,5445.5014,73.7936,0.4,0.9345
C-12,29.4266,0.1654,1301.4418,36.0755,0.2023,0.987
C-13,33.3148,0.1851,1702.5783,41.2623,0.2292,0.9844
C-14,29.9158,0.1671,1483.5978,38.5175,0.2156,0.9856
C-15,51.5766,0.2755,3881.8222,62.3043,0.3329,0.9474
