OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2,CONVERSION_TIME
C-1,45.1553,0.2513,3107.7501,55.7472,0.311,0.9651,2.7202231884002686
C-2,26.256,0.145,1063.0538,32.6045,0.1798,0.9916,2.7202231884002686
C-3,26.4649,0.1417,1106.6313,33.2661,0.1781,0.9914,2.7202231884002686
C-4,26.5328,0.1419,1068.7743,32.6921,0.1745,0.9903,2.7202231884002686
C-5,57.6319,0.2908,5126.5185,71.5997,0.3609,0.9421,2.7202231884002686
C-6,62.8775,0.3275,6007.5805,77.5086,0.403,0.93,2.7202231884002686
C-7,25.2179,0.1358,1041.1213,32.2664,0.1744,0.9904,2.7202231884002686
C-8,19.8853,0.105,619.2731,24.8852,0.131,0.9955,2.7202231884002686
C-9,20.6121,0.1111,668.2377,25.8503,0.1391,0.9945,2.7202231884002686
C-10,57.0251,0.2929,4695.6537,68.5248,0.3521,0.951,2.7202231884002686
C-11,62.1942,0.3371,5414.9186,73.5861,0.3988,0.9349,2.7202231884002686
C-12,29.2894,0.1647,1281.3323,35.7957,0.2008,0.9872,2.7202231884002686
C-13,34.0247,0.1891,1773.1951,42.1093,0.234,0.9837,2.7202231884002686
C-14,30.2958,0.1693,1504.6925,38.7904,0.2173,0.9853,2.7202231884002686
C-15,51.6489,0.2759,3875.6291,62.2546,0.3327,0.9475,2.7202231884002686
