OUTPUT,MAE,MAPE,MSE,RMSE,RMSPE,R2
C-1,11.12801,0.06177,175.69855,13.25513,0.0735,0.99803
C-2,13.49552,0.07463,257.06723,16.03332,0.08854,0.99797
C-3,8.98001,0.04804,138.10258,11.7517,0.06272,0.99893
C-4,8.62445,0.04603,139.10742,11.79438,0.06269,0.99874
C-5,8.92222,0.04491,140.89783,11.87004,0.05952,0.99841
C-6,8.71587,0.0454,137.66129,11.73292,0.061,0.9984
C-7,9.1213,0.04882,154.01921,12.41045,0.06613,0.99858
C-8,9.29505,0.04929,158.2046,12.57794,0.06652,0.99885
C-9,8.39938,0.04527,129.30547,11.37126,0.06115,0.99894
C-10,9.39749,0.04842,135.69719,11.64891,0.06014,0.99858
C-11,12.39258,0.06722,245.43295,15.6663,0.08504,0.99705
C-12,10.37141,0.05848,193.48515,13.9099,0.07857,0.99807
C-13,8.50219,0.04728,142.45018,11.93525,0.0666,0.99869
C-14,8.662,0.0484,135.0626,11.62164,0.06514,0.99868
C-15,7.35398,0.03924,91.89823,9.58636,0.05121,0.99876
