,fission_gas,max_fuel_cl_T,max_fuel_surf_T,radial_clad_T
fuel_density,0.0008096317978044214,0.0007424082953297306,0.0032659538668847127,0.0013057532375097256
porosity,0.0010772603767255624,0.06910715297007752,0.006957739307537351,0.05204448862984758
thickness_clad,0.00100575566001061,0.0013903040265735233,0.004764862009059181,0.0023737467835367636
pellet_OD,0.0011155900507318183,0.0013550151804046125,0.0048030626499130395,0.004884660405247836
pellet_h,0.13697552272333446,0.005343301218154838,0.03674777222783803,0.0021789934868491653
thickness_gap,0.001043982831150329,0.0009570027617480656,0.00334445568622052,0.008401414573251779
T_inlet,0.0008990858175030556,0.0012451024999293994,0.004392972260362457,0.0012650501877281002
enrich,0.001173412504578545,0.0018253424382989097,0.0027508070599171685,0.0020082098070262747
fuel_rough,0.0008619719683891873,0.021068728932570318,0.059779110906674045,0.026428225335918203
clad_rough,0.0010984167429509428,0.004243413516163584,0.011223224262615097,0.005124277373211457
power_ax,0.06116555766449864,0.09985574038361529,0.03437409849381879,0.0962937496351317
T_clad,0.0010723137072353604,0.043026411869786556,0.11831687181318663,0.061135766955403084
pressure,0.0009846975484553552,0.001128239932781535,0.0032686062468939695,0.0011780813414032493
