,fission_gas,max_fuel_cl_T,max_fuel_surf_T,radial_clad_T
fuel_density,5.834731139624327e-05,0.00017366819992890606,0.00019594121414598197,0.0001717196738924268
porosity,0.0005138270423997632,0.06812382814396797,0.004226176300650786,0.053261792713721404
thickness_clad,0.0012626955657540143,0.002508884607142728,0.0031716551535048085,0.0024215347453995476
pellet_OD,0.0002148477316967318,0.0017034600327752575,0.0022125830951226196,0.0006584068869191516
pellet_h,0.1442547587951481,0.006249277506216451,0.04542108670733449,0.0030014219945536003
thickness_gap,0.0002570938341597501,0.004144300945909598,0.000506793938151051,0.004297620560161711
T_inlet,2.8903907028479435e-07,3.3608045607150763e-06,2.8995534136234608e-06,6.753471472962493e-06
enrich,7.733360078451927e-05,0.0003541668381154031,3.2680545159431034e-06,0.00013022364773031172
fuel_rough,0.0006667527597127146,0.021843756017565042,0.059940636776826345,0.02695465326737362
clad_rough,0.0003715018771308677,0.0040800261216257525,0.009757864611370237,0.005884173662280028
power_ax,0.061641542153479105,0.10026967572504394,0.04079682036802393,0.09684517038292234
T_clad,0.00033504981982996257,0.04250816783522003,0.12036088774028575,0.060467931492848376
pressure,3.8596320294247187e-07,3.857951696762911e-06,2.7676234081097884e-06,6.310154266550073e-06
